signal,condition,sample_size,next_up_count,next_down_or_flat_count,next_up_probability,next_up_prob_ci95_low,next_up_prob_ci95_high,avg_next_return_pct,median_next_return_pct,avg_abs_next_return_pct
IF_top20_long_oi_chg,> 0,136,71,65,0.5220588235294118,0.4386593029604021,0.6042463846175433,0.15159515448881067,0.11899407722437694,1.4189924916133805
IF_top20_long_oi_chg,< 0,158,91,67,0.5759493670886076,0.4979853861070987,0.6503077597836981,0.4147295627483927,0.3861688252747464,1.3996988270866013
IF_top20_long_oi_chg,top quartile,74,41,33,0.5540540540540541,0.4409291962707845,0.6618436141544893,0.18254687739796222,0.20659735946905178,1.4496278058752416
IF_top20_long_oi_chg,bottom quartile,74,44,30,0.5945945945945946,0.4807563154549811,0.6990961027892483,0.30517890256219143,0.5546067892526763,1.4362556781453137
IF_top20_short_oi_chg,> 0,133,70,63,0.5263157894736842,0.44191437338509076,0.6092396616451923,0.13444663285421005,0.1401520062728867,1.3965771664954905
IF_top20_short_oi_chg,< 0,161,92,69,0.5714285714285714,0.49419895003231296,0.6453289361323444,0.42399260717462334,0.46868423168420215,1.418575344069581
IF_top20_short_oi_chg,top quartile,74,38,36,0.5135135135135135,0.40180918267194504,0.6238840199343733,0.17493995434790888,0.07752678880800223,1.4471538719449768
IF_top20_short_oi_chg,bottom quartile,74,44,30,0.5945945945945946,0.4807563154549811,0.6990961027892483,0.3779892675947501,0.6177593568849282,1.5144696538912545
IF_top20_net_oi_chg,> 0,165,88,77,0.5333333333333333,0.4573189068484033,0.6078309140488163,0.2282968963083337,0.23366537557196754,1.4464512208544877
IF_top20_net_oi_chg,< 0,129,74,55,0.5736434108527132,0.4873866813077036,0.6556408040583265,0.3757769304949553,0.30220647886103347,1.3602398612256767
IF_top20_net_oi_chg,top quartile,74,35,39,0.47297297297297297,0.36338517790283736,0.5852284168845255,0.13098699174040757,-0.14325867857430397,1.575467157588738
IF_top20_net_oi_chg,bottom quartile,74,40,34,0.5405405405405406,0.42781145210146765,0.6492681557174879,0.2903714247394611,0.15750922908517317,1.139970050788839
IF_net_buy_qty,> 0,165,88,77,0.5333333333333333,0.4573189068484033,0.6078309140488163,0.2282968963083337,0.23366537557196754,1.4464512208544877
IF_net_buy_qty,< 0,0,0,0,,,,,,
IF_net_buy_qty,top quartile,74,35,39,0.47297297297297297,0.36338517790283736,0.5852284168845255,0.13098699174040757,-0.14325867857430397,1.575467157588738
IF_net_buy_qty,bottom quartile,129,74,55,0.5736434108527132,0.4873866813077036,0.6556408040583265,0.3757769304949553,0.30220647886103347,1.3602398612256767
IF_net_sell_qty,> 0,129,74,55,0.5736434108527132,0.4873866813077036,0.6556408040583265,0.3757769304949553,0.30220647886103347,1.3602398612256767
IF_net_sell_qty,< 0,0,0,0,,,,,,
IF_net_sell_qty,top quartile,74,40,34,0.5405405405405406,0.42781145210146765,0.6492681557174879,0.2903714247394611,0.15750922908517317,1.139970050788839
IF_net_sell_qty,bottom quartile,165,88,77,0.5333333333333333,0.4573189068484033,0.6078309140488163,0.2282968963083337,0.23366537557196754,1.4464512208544877
