signal,sample_size,pearson_corr_next_return,spearman_corr_next_return
IF_top20_long_oi_chg,294,-0.009761853111107222,-0.055157893842111005
IF_top20_short_oi_chg,294,-0.006623953924493746,-0.04805806038725139
IF_top20_net_oi_chg,294,-0.013939466764879175,-0.04142363554606549
IF_net_buy_qty,294,-0.027714172537598048,-0.052662477711352594
IF_net_sell_qty,294,-0.007904321025987515,0.03904476293842231
IH_top20_long_oi_chg,294,-0.05166573214679894,-0.06301162830095498
IH_top20_short_oi_chg,294,-0.06293722714190624,-0.06895122037026132
IH_top20_net_oi_chg,294,0.07543122023084417,0.07639474328256547
IH_net_buy_qty,294,0.13319404554758807,0.10085947805187392
IH_net_sell_qty,294,0.01822293293199779,-0.035522679796478815
IC_top20_long_oi_chg,294,0.006625832251119402,-0.021202444636035947
IC_top20_short_oi_chg,294,0.008431444021301346,-0.016354627695932888
IC_top20_net_oi_chg,294,-0.009409736434392184,-0.01141379903062918
IC_net_buy_qty,294,-0.04240444179052975,-0.04480043144881262
IC_net_sell_qty,294,-0.0364833712851457,0.0019840128736919116
IM_top20_long_oi_chg,294,-0.00827622260415655,-0.009602592676411703
IM_top20_short_oi_chg,294,-0.013536085795086644,-0.01902692232182535
IM_top20_net_oi_chg,294,0.0295733739717611,0.020772734189688304
IM_net_buy_qty,294,0.020054630027469877,-0.0006326230253902047
IM_net_sell_qty,294,-0.031960440443882986,0.02066475601291598
all_products_long_oi_chg_sum,294,-0.012386499854233526,-0.03965820724078375
all_products_short_oi_chg_sum,294,-0.014889702846105943,-0.035144733643747365
all_products_net_oi_chg_sum,294,0.017835274653199673,0.0024246144765000905
