product,net_direction,net_direction_cn,qty_bucket,sample_size,qty_min,qty_max,next_up_probability,avg_next_return_pct,median_next_return_pct,avg_abs_next_return_pct
IC,net_buy,净买入,Q1_数量低,43,2,397,0.5581395348837209,0.12715076461356103,0.24859736349951422,1.1430336455535643
IC,net_buy,净买入,Q2,43,398,768,0.5581395348837209,0.4469655372150099,0.4885647525313175,1.3057385906929337
IC,net_buy,净买入,Q3,42,770,1525,0.5,0.17188334674478706,0.03676431952098769,1.634184411537296
IC,net_buy,净买入,Q4_数量高,43,1539,4701,0.5348837209302325,0.17486494749107517,0.34156850303446173,1.4092244131017095
IC,net_sell,净卖出,Q1_数量低,31,12,390,0.6129032258064516,0.9409687377385368,0.8664339195924686,1.551258775114779
IC,net_sell,净卖出,Q2,31,392,685,0.6451612903225806,0.4082290982679118,0.5047570180698902,1.6772308086394812
IC,net_sell,净卖出,Q3,30,697,1224,0.5333333333333333,0.18380964698192098,0.24495987262815877,1.4537000150431065
IC,net_sell,净卖出,Q4_数量高,31,1227,3612,0.4838709677419355,-0.020016280159969896,-0.11866073201562966,1.1584391866092953
IF,net_buy,净买入,Q1_数量低,42,1,472,0.5714285714285714,0.18096395457007602,0.46361850913974045,1.2261196270518464
IF,net_buy,净买入,Q2,41,481,885,0.6097560975609756,0.3271493869750093,0.35623571247143104,1.2922585050060982
IF,net_buy,净买入,Q3,41,898,1401,0.4146341463414634,0.22006234850748224,-0.1859782209714944,1.7191727013871365
IF,net_buy,净买入,Q4_数量高,41,1402,4688,0.5365853658536586,0.18616635717438335,0.23366537557196754,1.5536279912851292
IF,net_sell,净卖出,Q1_数量低,33,1,245,0.5757575757575758,0.2639222043973697,0.3850957017548229,1.586953575367506
IF,net_sell,净卖出,Q2,33,263,662,0.696969696969697,0.741986879678847,0.801730461988126,1.4966181491428665
IF,net_sell,净卖出,Q3,31,666,1191,0.5483870967741935,0.2347772219858498,0.24859736349951422,0.9818950485012511
IF,net_sell,净卖出,Q4_数量高,32,1239,3889,0.46875,0.2500665743053982,-0.21563886746746586,1.352322771429101
IH,net_buy,净买入,Q1_数量低,40,10,219,0.5,0.12523206161956318,-0.08194636454261772,1.2751102633075277
IH,net_buy,净买入,Q2,39,224,439,0.48717948717948717,0.3035953770122688,-0.008222047203210181,1.1866064571370138
IH,net_buy,净买入,Q3,39,444,687,0.5897435897435898,0.7220860943575865,0.664424890542703,1.557205243558718
IH,net_buy,净买入,Q4_数量高,40,692,2331,0.65,0.5461925378783581,0.882788999263795,1.915003733902705
IH,net_sell,净卖出,Q1_数量低,34,6,166,0.5882352941176471,0.17405181468813258,0.3325672495867793,0.9297640558107053
IH,net_sell,净卖出,Q2,34,184,341,0.47058823529411764,-0.07054528448428608,-0.186962904349397,1.4309555511827552
IH,net_sell,净卖出,Q3,34,343,651,0.47058823529411764,-0.13006143494223188,-0.2219379424910073,1.4533423895686606
IH,net_sell,净卖出,Q4_数量高,34,674,1730,0.6470588235294118,0.5937799212496528,1.1764763227717578,1.4660020423661126
IM,net_buy,净买入,Q1_数量低,44,34,585,0.4772727272727273,-0.12031634485977998,-0.17812976504574252,1.0669778144674975
IM,net_buy,净买入,Q2,44,598,1162,0.4318181818181818,0.33191504611078365,-0.1404177345826707,1.155381191985848
IM,net_buy,净买入,Q3,43,1193,2002,0.627906976744186,0.5625007325262902,0.7023389304918748,1.6673011304624494
IM,net_buy,净买入,Q4_数量高,44,2046,5670,0.5681818181818182,0.2440717964299422,0.4596508441286562,1.694991416068379
IM,net_sell,净卖出,Q1_数量低,30,17,378,0.6666666666666666,0.898544038679044,0.8922694844520129,1.5582625999742306
IM,net_sell,净卖出,Q2,30,380,795,0.6333333333333333,0.26077826348477695,0.5022283332417388,1.3025330824151558
IM,net_sell,净卖出,Q3,29,802,1389,0.5172413793103449,-0.027609165841377528,0.16459735543858933,1.5723676372576465
IM,net_sell,净卖出,Q4_数量高,30,1419,4610,0.5333333333333333,0.2642725090872508,0.22631379079639524,1.288516479536941
