date,product,contract,open,high,low,close,volume,open_interest,turnover,settle,pre_settle
2025-04-09,IC,IC2504,5200.0,5442.6,5101.4,5387.2,89534,77524,9497115.088,5408.4,5231.4
2025-04-09,IC,IC2505,5149.8,5381.4,5042.4,5332.0,11166,15188,1172285.68,5350.2,5169.6
2025-04-09,IC,IC2506,5050.0,5306.8,4966.2,5262.8,75409,104653,7792461.92,5277.2,5100.4
2025-04-09,IC,IC2509,4964.6,5185.0,4850.0,5143.0,18707,46844,1890399.376,5156.6,4976.4
2025-04-09,IF,IF2504,3575.2,3674.4,3551.2,3655.0,68912,79905,7488133.332,3658.4,3591.4
2025-04-09,IF,IF2505,3544.0,3659.6,3523.2,3640.2,10922,13251,1181768.97,3645.0,3567.0
2025-04-09,IF,IF2506,3499.6,3634.4,3489.0,3614.0,115307,150590,12357558.522,3620.2,3538.6
2025-04-09,IF,IF2509,3466.6,3583.4,3436.0,3565.4,23525,57306,2482729.494,3567.8,3488.6
2025-04-09,IH,IH2504,2520.0,2588.8,2520.0,2575.2,36445,32993,2795490.594,2576.0,2537.2
2025-04-09,IH,IH2505,2504.8,2586.0,2504.8,2575.8,4466,5606,341891.154,2574.0,2527.6
2025-04-09,IH,IH2506,2500.0,2575.6,2495.0,2564.2,65219,58795,4969107.138,2563.2,2517.4
2025-04-09,IH,IH2509,2470.0,2544.0,2465.2,2532.2,13122,20334,988944.528,2533.8,2488.0
2025-04-09,IM,IM2504,5401.2,5643.8,5186.2,5594.2,141240,106818,15422834.016,5610.0,5414.0
2025-04-09,IM,IM2505,5312.2,5573.4,5128.0,5514.0,18021,19651,1944321.148,5535.6,5340.2
2025-04-09,IM,IM2506,5202.2,5488.0,5053.2,5429.6,307215,184548,32641643.0,5451.0,5270.4
2025-04-09,IM,IM2509,5067.0,5328.0,4900.0,5274.4,49440,77135,5090944.844,5293.8,5108.6
2025-04-10,IC,IC2504,5545.0,5598.8,5467.0,5509.0,60899,65270,6746519.796,5528.6,5408.4
2025-04-10,IC,IC2505,5455.0,5540.2,5431.8,5452.2,7746,15766,849229.648,5470.2,5350.2
2025-04-10,IC,IC2506,5359.8,5469.0,5359.8,5381.2,53950,97111,5836812.868,5399.0,5277.2
2025-04-10,IC,IC2509,5235.0,5348.6,5235.0,5259.6,12652,45043,1338507.812,5278.2,5156.6
2025-04-10,IF,IF2504,3710.0,3750.0,3692.4,3712.2,51403,72066,5736532.5,3717.8,3658.4
2025-04-10,IF,IF2505,3700.0,3738.0,3682.0,3699.8,6892,13205,766795.284,3706.0,3645.0
2025-04-10,IF,IF2506,3678.4,3713.4,3655.0,3673.0,83748,141689,9252784.998,3678.8,3620.2
2025-04-10,IF,IF2509,3638.0,3663.0,3608.0,3624.0,15704,54672,1711943.532,3630.0,3567.8
2025-04-10,IH,IH2504,2602.0,2616.4,2579.6,2598.4,23535,27480,1835171.604,2599.8,2576.0
2025-04-10,IH,IH2505,2600.0,2616.8,2578.0,2596.0,3041,5453,236910.912,2597.8,2574.0
2025-04-10,IH,IH2506,2590.0,2603.6,2568.0,2582.2,43873,48237,3403096.644,2585.6,2563.2
2025-04-10,IH,IH2509,2555.8,2573.0,2539.6,2553.0,8311,19584,637580.19,2556.8,2533.8
2025-04-10,IM,IM2504,5750.0,5865.8,5720.0,5744.8,96804,92361,11205316.688,5767.0,5610.0
2025-04-10,IM,IM2505,5689.8,5791.2,5640.0,5666.2,14381,20103,1642299.912,5689.4,5535.6
2025-04-10,IM,IM2506,5550.4,5701.2,5549.0,5578.2,222566,174420,25035422.392,5598.0,5451.0
2025-04-10,IM,IM2509,5395.0,5542.8,5395.0,5419.0,35576,72984,3890156.372,5440.6,5293.8
2025-04-11,IC,IC2504,5500.0,5620.0,5492.0,5555.8,48540,62461,5387429.772,5569.8,5528.6
2025-04-11,IC,IC2505,5412.8,5561.6,5412.8,5495.4,8580,17659,942563.592,5515.6,5470.2
2025-04-11,IC,IC2506,5381.2,5488.6,5361.8,5424.2,40616,96669,4401292.228,5439.2,5399.0
2025-04-11,IC,IC2509,5233.6,5362.2,5233.6,5303.6,9497,44688,1005219.36,5314.8,5278.2
2025-04-11,IF,IF2504,3712.0,3753.8,3694.2,3732.2,41826,65729,4668865.836,3735.6,3717.8
2025-04-11,IF,IF2505,3699.6,3737.6,3680.4,3717.4,6255,14605,695173.056,3721.6,3706.0
2025-04-11,IF,IF2506,3678.2,3709.0,3650.2,3686.6,69617,139942,7681750.854,3693.0,3678.8
2025-04-11,IF,IF2509,3620.0,3656.0,3598.4,3638.8,12289,55185,1337289.528,3642.8,3630.0
2025-04-11,IH,IH2504,2605.0,2615.6,2588.0,2609.0,17458,26308,1362705.984,2608.6,2599.8
2025-04-11,IH,IH2505,2604.2,2610.4,2584.4,2607.0,2446,5306,190564.122,2606.2,2597.8
2025-04-11,IH,IH2506,2592.6,2602.0,2573.0,2595.6,33127,47569,2571688.962,2595.4,2585.6
2025-04-11,IH,IH2509,2560.0,2571.2,2543.4,2565.6,6052,19379,464364.456,2565.2,2556.8
2025-04-11,IM,IM2504,5722.0,5913.0,5713.6,5835.0,81375,86117,9473861.812,5851.6,5767.0
2025-04-11,IM,IM2505,5650.0,5839.0,5632.0,5763.2,14348,22132,1649388.98,5779.0,5689.4
2025-04-11,IM,IM2506,5555.0,5746.6,5545.0,5672.2,192909,173299,21797306.96,5685.4,5598.0
2025-04-11,IM,IM2509,5391.0,5578.2,5389.0,5511.0,29006,73273,3182580.044,5520.4,5440.6
2025-04-14,IC,IC2504,5615.6,5638.0,5580.2,5584.8,38051,51902,4263782.648,5591.4,5569.8
2025-04-14,IC,IC2505,5547.0,5576.6,5515.8,5515.8,9702,21350,1075396.972,5527.6,5515.6
2025-04-14,IC,IC2506,5470.0,5498.0,5436.0,5437.4,29820,93663,3257808.592,5446.2,5439.2
2025-04-14,IC,IC2509,5351.0,5369.0,5310.0,5310.2,7973,44225,850821.916,5317.8,5314.8
2025-04-14,IF,IF2504,3754.2,3763.0,3738.0,3743.0,31873,57002,3585762.594,3747.0,3735.6
2025-04-14,IF,IF2505,3737.8,3747.8,3722.4,3726.6,7100,17278,795450.0,3729.8,3721.6
2025-04-14,IF,IF2506,3706.2,3717.0,3694.0,3694.8,45569,135018,5063101.74,3699.0,3693.0
2025-04-14,IF,IF2509,3657.0,3666.0,3642.0,3642.0,8096,53976,887207.238,3647.0,3642.8
2025-04-14,IH,IH2504,2611.0,2632.8,2607.0,2622.8,14001,22783,1101971.862,2624.8,2608.6
2025-04-14,IH,IH2505,2612.2,2630.0,2605.0,2618.0,3327,5995,261732.558,2621.0,2606.2
2025-04-14,IH,IH2506,2600.8,2620.0,2595.0,2606.6,26026,46111,2038252.53,2610.0,2595.4
2025-04-14,IH,IH2509,2571.8,2588.6,2565.2,2575.8,4942,18610,382437.732,2577.8,2565.2
2025-04-14,IM,IM2504,5898.6,5951.4,5875.4,5879.8,61023,70795,7206506.52,5891.4,5851.6
2025-04-14,IM,IM2505,5865.8,5867.4,5790.4,5794.0,15822,27006,1841906.332,5804.0,5779.0
2025-04-14,IM,IM2506,5733.0,5769.8,5690.0,5693.0,133293,162218,15258459.724,5702.0,5685.4
2025-04-14,IM,IM2509,5575.0,5601.8,5522.8,5522.8,23757,73695,2640640.744,5534.2,5520.4
2025-04-15,IC,IC2504,5581.0,5598.8,5542.2,5580.0,38649,46610,4300351.036,5571.6,5591.4
2025-04-15,IC,IC2505,5515.8,5535.4,5466.6,5502.6,13002,26596,1427572.336,5493.2,5527.6
2025-04-15,IC,IC2506,5437.4,5453.8,5381.0,5415.6,32729,96651,3539350.752,5407.8,5446.2
2025-04-15,IC,IC2509,5306.0,5323.4,5249.0,5283.4,8099,43831,854335.304,5275.6,5317.8
2025-04-15,IF,IF2504,3743.0,3749.6,3724.6,3744.4,31594,52592,3540499.566,3740.4,3747.0
2025-04-15,IF,IF2505,3725.0,3729.0,3707.4,3722.4,9460,21752,1054673.688,3720.0,3729.8
2025-04-15,IF,IF2506,3692.0,3698.0,3675.4,3690.4,44540,137582,4923408.396,3688.6,3699.0
2025-04-15,IF,IF2509,3642.0,3645.6,3624.0,3638.8,7803,54757,850462.014,3636.6,3647.0
2025-04-15,IH,IH2504,2620.0,2631.4,2610.2,2628.2,14479,21035,1138028.88,2625.2,2624.8
2025-04-15,IH,IH2505,2612.4,2622.6,2605.2,2617.8,5621,8604,440641.572,2615.6,2621.0
2025-04-15,IH,IH2506,2605.0,2611.6,2595.0,2608.8,21919,45206,1711360.626,2606.4,2610.0
2025-04-15,IH,IH2509,2572.8,2579.4,2562.4,2576.0,3763,18198,290140.914,2573.6,2577.8
2025-04-15,IM,IM2504,5887.8,5913.0,5842.6,5888.0,55619,61041,6531233.544,5879.4,5891.4
2025-04-15,IM,IM2505,5805.6,5828.2,5747.8,5793.0,22011,33322,2543551.592,5782.8,5804.0
2025-04-15,IM,IM2506,5689.8,5722.0,5637.0,5680.4,126870,164742,14389164.732,5673.2,5702.0
2025-04-15,IM,IM2509,5530.0,5550.2,5465.0,5508.8,21222,73212,2334237.616,5500.4,5534.2
2025-04-16,IC,IC2504,5571.0,5571.0,5483.8,5540.4,44211,36562,4886288.064,5525.2,5571.6
2025-04-16,IC,IC2505,5490.8,5491.2,5399.2,5454.8,21897,37191,2382559.732,5439.2,5493.2
2025-04-16,IC,IC2506,5400.0,5403.6,5316.2,5366.6,38543,96381,4128663.932,5355.4,5407.8
2025-04-16,IC,IC2509,5255.6,5269.8,5191.0,5239.8,9199,44986,961564.148,5226.4,5275.6
2025-04-16,IF,IF2504,3742.0,3762.4,3710.6,3755.4,36424,45885,4073807.118,3738.8,3740.4
2025-04-16,IF,IF2505,3717.0,3732.4,3685.2,3723.8,18887,32455,2097479.652,3710.2,3720.0
2025-04-16,IF,IF2506,3691.2,3697.8,3652.6,3690.8,58241,141540,6411958.11,3677.6,3688.6
2025-04-16,IF,IF2509,3633.8,3642.4,3600.8,3635.2,9611,54594,1043114.628,3626.8,3636.6
2025-04-16,IH,IH2504,2630.0,2653.0,2611.2,2644.6,17017,17202,1340238.57,2636.2,2625.2
2025-04-16,IH,IH2505,2615.0,2638.8,2602.8,2629.8,9339,12165,732517.338,2623.6,2615.6
2025-04-16,IH,IH2506,2605.0,2627.2,2591.4,2620.0,31223,46398,2438587.392,2612.2,2606.4
2025-04-16,IH,IH2509,2573.0,2593.0,2559.4,2585.6,4575,17888,352802.736,2579.2,2573.6
2025-04-16,IM,IM2504,5876.6,5879.4,5756.0,5819.8,64059,50652,7450637.108,5807.6,5879.4
2025-04-16,IM,IM2505,5780.0,5780.0,5653.0,5713.8,36696,47601,4189413.436,5700.2,5782.8
2025-04-16,IM,IM2506,5660.0,5667.8,5554.6,5603.0,156339,171071,17517610.76,5594.4,5673.2
2025-04-16,IM,IM2509,5480.8,5498.2,5388.2,5434.4,28321,78229,3076229.372,5427.2,5500.4
2025-04-17,IC,IC2504,5523.0,5610.2,5521.8,5551.2,34523,21987,3852603.42,5568.2,5525.2
2025-04-17,IC,IC2505,5429.8,5536.8,5429.8,5483.6,27886,47876,3071361.9,5500.4,5439.2
2025-04-17,IC,IC2506,5351.0,5454.0,5347.0,5406.6,44149,99918,4789119.928,5422.2,5355.4
2025-04-17,IC,IC2509,5215.8,5319.0,5213.0,5280.2,10689,47082,1131727.7,5294.2,5226.4
2025-04-17,IF,IF2504,3736.0,3781.6,3736.0,3765.4,35237,26834,3979969.002,3768.4,3738.8
