date,product,main_contract,main_contract_volume,main_contract_open_interest,close,settle,pre_settle
2025-04-09,IC,IC2504,89534,77524,5387.2,5408.4,5231.4
2025-04-09,IF,IF2506,115307,150590,3614.0,3620.2,3538.6
2025-04-09,IH,IH2506,65219,58795,2564.2,2563.2,2517.4
2025-04-09,IM,IM2506,307215,184548,5429.6,5451.0,5270.4
2025-04-10,IC,IC2504,60899,65270,5509.0,5528.6,5408.4
2025-04-10,IF,IF2506,83748,141689,3673.0,3678.8,3620.2
2025-04-10,IH,IH2506,43873,48237,2582.2,2585.6,2563.2
2025-04-10,IM,IM2506,222566,174420,5578.2,5598.0,5451.0
2025-04-11,IC,IC2504,48540,62461,5555.8,5569.8,5528.6
2025-04-11,IF,IF2506,69617,139942,3686.6,3693.0,3678.8
2025-04-11,IH,IH2506,33127,47569,2595.6,2595.4,2585.6
2025-04-11,IM,IM2506,192909,173299,5672.2,5685.4,5598.0
2025-04-14,IC,IC2504,38051,51902,5584.8,5591.4,5569.8
2025-04-14,IF,IF2506,45569,135018,3694.8,3699.0,3693.0
2025-04-14,IH,IH2506,26026,46111,2606.6,2610.0,2595.4
2025-04-14,IM,IM2506,133293,162218,5693.0,5702.0,5685.4
2025-04-15,IC,IC2504,38649,46610,5580.0,5571.6,5591.4
2025-04-15,IF,IF2506,44540,137582,3690.4,3688.6,3699.0
2025-04-15,IH,IH2506,21919,45206,2608.8,2606.4,2610.0
2025-04-15,IM,IM2506,126870,164742,5680.4,5673.2,5702.0
2025-04-16,IC,IC2504,44211,36562,5540.4,5525.2,5571.6
2025-04-16,IF,IF2506,58241,141540,3690.8,3677.6,3688.6
2025-04-16,IH,IH2506,31223,46398,2620.0,2612.2,2606.4
2025-04-16,IM,IM2506,156339,171071,5603.0,5594.4,5673.2
2025-04-17,IC,IC2506,44149,99918,5406.6,5422.2,5355.4
2025-04-17,IF,IF2506,55799,141593,3710.6,3712.8,3677.6
2025-04-17,IH,IH2506,28211,44853,2633.6,2634.6,2612.2
2025-04-17,IM,IM2506,156019,168300,5653.8,5672.6,5594.4
2025-04-18,IC,IC2506,42314,100600,5400.0,5423.8,5422.2
2025-04-18,IF,IF2506,45646,139841,3708.8,3714.6,3712.8
2025-04-18,IH,IH2506,25557,44395,2633.4,2633.0,2634.6
2025-04-18,IM,IM2506,150566,168687,5642.0,5670.4,5672.6
2025-04-21,IC,IC2506,42483,99810,5499.8,5507.6,5423.8
2025-04-21,IF,IF2506,44191,139536,3733.2,3738.6,3714.6
2025-04-21,IH,IH2506,23857,43953,2631.4,2636.2,2633.0
2025-04-21,IM,IM2506,137318,166314,5770.0,5770.0,5670.4
2025-04-22,IC,IC2506,37064,97788,5486.0,5497.0,5507.6
2025-04-22,IF,IF2506,37955,136331,3733.0,3740.0,3738.6
2025-04-22,IH,IH2506,19683,42709,2637.4,2641.4,2636.2
2025-04-22,IM,IM2506,130317,163968,5769.6,5782.6,5770.0
2025-04-23,IC,IC2506,45995,101966,5495.0,5495.8,5497.0
2025-04-23,IF,IF2506,48170,137093,3734.0,3735.2,3740.0
2025-04-23,IH,IH2506,23296,43864,2627.4,2627.6,2641.4
2025-04-23,IM,IM2506,146296,166689,5820.0,5821.6,5782.6
2025-04-24,IC,IC2506,39686,99171,5478.0,5475.4,5495.8
2025-04-24,IF,IF2506,48747,136827,3736.8,3737.0,3735.2
2025-04-24,IH,IH2506,24156,43465,2635.8,2635.2,2627.6
2025-04-24,IM,IM2506,135094,163863,5767.4,5761.6,5821.6
2025-04-25,IC,IC2506,43767,99051,5498.6,5499.8,5475.4
2025-04-25,IF,IF2506,47168,136227,3739.2,3737.6,3737.0
2025-04-25,IH,IH2506,26636,44804,2628.0,2626.4,2635.2
2025-04-25,IM,IM2506,147686,167733,5786.6,5785.0,5761.6
2025-04-28,IC,IC2506,37058,96080,5471.0,5474.4,5499.8
2025-04-28,IF,IF2506,38102,134340,3730.6,3732.8,3737.6
2025-04-28,IH,IH2506,21403,42616,2628.0,2630.4,2626.4
2025-04-28,IM,IM2506,120927,159258,5729.0,5733.2,5785.0
2025-04-29,IC,IC2506,34048,95869,5487.2,5487.6,5474.4
2025-04-29,IF,IF2506,37569,134140,3724.8,3725.8,3732.8
2025-04-29,IH,IH2506,20683,43068,2621.2,2623.2,2630.4
2025-04-29,IM,IM2506,116166,159461,5773.6,5769.0,5733.2
2025-04-30,IC,IC2506,38409,94639,5497.0,5512.0,5487.6
