date,product,contract,rank,vol_member,vol,vol_chg,long_member,long_oi,long_oi_chg,short_member,short_oi,short_oi_chg
2025-04-09,IF,IF2504,1,中信期货(代客),24171,-3992,国泰君安(代客),12098,-675,国泰君安(代客),13305,-659
2025-04-09,IF,IF2504,2,国泰君安(代客),23190,-2510,海通期货(代客),10889,-52,中信期货(代客),12260,-1138
2025-04-09,IF,IF2504,3,海通期货(代客),10043,-1667,中信期货(代客),9188,-1425,华泰期货(代客),7959,-172
2025-04-09,IF,IF2504,4,东证期货(代客),8291,-1289,东证期货(代客),5183,-820,东证期货(代客),5340,-245
2025-04-09,IF,IF2504,5,广发期货(代客),5848,174,华泰期货(代客),2934,-332,海通期货(代客),3538,383
2025-04-09,IF,IF2504,6,国信期货(代客),5728,-219,瑞银期货(代客),2722,-21,广发期货(代客),3417,33
2025-04-09,IF,IF2504,7,华闻期货(代客),4852,200,广发期货(代客),2517,421,国信期货(代客),2753,-927
2025-04-09,IF,IF2504,8,中信建投(代客),3492,-607,国信期货(代客),2461,-55,银河期货(代客),2167,216
2025-04-09,IF,IF2504,9,银河期货(代客),3299,-1708,银河期货(代客),2253,269,永安期货(代客),1935,-133
2025-04-09,IF,IF2504,10,永安期货(代客),2849,-314,中金期货(代客),1657,532,国投期货(代客),1867,105
2025-04-09,IF,IF2504,11,光大期货(代客),2525,-1418,华闻期货(代客),1580,123,国富期货(代客),1574,-42
2025-04-09,IF,IF2504,12,招商期货(代客),2389,-9,光大期货(代客),1539,-281,中银期货(代客),1538,282
2025-04-09,IF,IF2504,13,华泰期货(代客),2342,-1523,申银万国(代客),1481,-91,中泰期货(代客),1456,-259
2025-04-09,IF,IF2504,14,中泰期货(代客),2336,-1275,南华期货(代客),1275,54,华闻期货(代客),1450,-509
2025-04-09,IF,IF2504,15,瑞达期货(代客),2211,38,浙商期货(代客),1222,-553,兴证期货(代客),1393,-14
2025-04-09,IF,IF2504,16,申银万国(代客),1668,-663,永安期货(代客),1213,-382,招商期货(代客),1056,-776
2025-04-09,IF,IF2504,17,国投期货(代客),1503,-1242,摩根大通(代客),1081,-353,光大期货(代客),954,-82
2025-04-09,IF,IF2504,18,兴证期货(代客),1456,-154,中信建投(代客),1059,-880,申银万国(代客),950,-11
2025-04-09,IF,IF2504,19,东兴期货(代客),1407,-165,中泰期货(代客),989,-23,宏源期货(代客),841,-13
2025-04-09,IF,IF2504,20,浙商期货(代客),1296,-280,西南期货(代客),758,-380,中信建投(代客),802,-750
2025-04-09,IF,IF2505,1,中信期货(代客),3476,282,瑞银期货(代客),2208,327,中银期货(代客),2231,451
2025-04-09,IF,IF2505,2,国泰君安(代客),3261,132,国泰君安(代客),1779,-186,中信期货(代客),1828,665
2025-04-09,IF,IF2505,3,东证期货(代客),3063,57,东证期货(代客),1472,190,东证期货(代客),1036,-239
2025-04-09,IF,IF2505,4,海通期货(代客),2570,-468,中信期货(代客),1252,-135,海通期货(代客),999,-298
2025-04-09,IF,IF2505,5,国信期货(代客),1599,284,海通期货(代客),853,38,国泰君安(代客),959,-415
2025-04-09,IF,IF2505,6,招商期货(代客),698,150,广发期货(代客),568,77,广发期货(代客),869,241
2025-04-09,IF,IF2505,7,广发期货(代客),630,-278,西南期货(代客),476,318,华泰期货(代客),855,32
2025-04-09,IF,IF2505,8,中银期货(代客),461,-1323,华泰期货(代客),453,-22,国信期货(代客),797,19
2025-04-09,IF,IF2505,9,华闻期货(代客),417,-20,光大期货(代客),386,97,兴证期货(代客),661,6
2025-04-09,IF,IF2505,10,华泰期货(代客),412,-897,申银万国(代客),361,-4,招商期货(代客),453,188
2025-04-09,IF,IF2505,11,西南期货(代客),400,348,方正中期(代客),349,286,宏源期货(代客),212,5
2025-04-09,IF,IF2505,12,方正中期(代客),358,290,国信期货(代客),330,-258,中泰期货(代客),200,-16
2025-04-09,IF,IF2505,13,瑞银期货(代客),327,-876,招商期货(代客),299,-72,华闻期货(代客),191,40
2025-04-09,IF,IF2505,14,浙商期货(代客),308,220,大地期货(代客),151,0,国投期货(代客),143,-45
2025-04-09,IF,IF2505,15,五矿期货(代客),286,-85,中泰期货(代客),136,-5,银河期货(代客),137,13
2025-04-09,IF,IF2505,16,光大期货(代客),235,-23,五矿期货(代客),129,-12,五矿期货(代客),128,-6
2025-04-09,IF,IF2505,17,银河期货(代客),210,-94,海证期货(代客),114,92,永安期货(代客),127,10
2025-04-09,IF,IF2505,18,华西期货(代客),183,65,银河期货(代客),111,3,南华期货(代客),110,50
2025-04-09,IF,IF2505,19,国投期货(代客),174,-63,国投期货(代客),108,-3,弘业期货(代客),105,98
2025-04-09,IF,IF2505,20,申银万国(代客),157,-11,宁证期货(代客),105,50,东吴期货(代客),91,87
2025-04-09,IF,IF2506,1,中信期货(代客),38519,-1331,国泰君安(代客),32106,-146,中信期货(代客),36988,458
2025-04-09,IF,IF2506,2,国泰君安(代客),34079,-2134,中信期货(代客),17375,1333,国泰君安(代客),16568,567
2025-04-09,IF,IF2506,3,海通期货(代客),13150,-397,东证期货(代客),6622,-388,国投期货(代客),10362,168
2025-04-09,IF,IF2506,4,东证期货(代客),12295,-237,国投期货(代客),5548,147,东证期货(代客),8179,-207
2025-04-09,IF,IF2506,5,国信期货(代客),8992,-399,银河期货(代客),4540,87,广发期货(代客),6885,363
2025-04-09,IF,IF2506,6,华闻期货(代客),5651,-1161,华泰期货(代客),4465,-597,招商期货(代客),6026,-530
2025-04-09,IF,IF2506,7,银河期货(代客),5262,21,海通期货(代客),4407,-753,华泰期货(代客),5424,198
2025-04-09,IF,IF2506,8,华泰期货(代客),5127,-1289,国信期货(代客),3245,-1295,海通期货(代客),4876,-603
2025-04-09,IF,IF2506,9,广发期货(代客),5006,157,广发期货(代客),3014,121,申银万国(代客),3961,94
2025-04-09,IF,IF2506,10,国投期货(代客),4659,224,永安期货(代客),2995,-185,摩根大通(代客),3498,-656
2025-04-09,IF,IF2506,11,中泰期货(代客),4104,-3151,申银万国(代客),2657,88,国信期货(代客),3406,23
2025-04-09,IF,IF2506,12,瑞达期货(代客),3916,275,东海期货(代客),2614,164,瑞银期货(代客),2890,-636
2025-04-09,IF,IF2506,13,中信建投(代客),3879,-103,南华期货(代客),2504,-144,中信建投(代客),2594,-108
2025-04-09,IF,IF2506,14,招商期货(代客),3498,-66,招商期货(代客),2477,-326,银河期货(代客),2259,261
2025-04-09,IF,IF2506,15,永安期货(代客),3193,216,光大期货(代客),2268,-218,方正中期(代客),2197,59
2025-04-09,IF,IF2506,16,申银万国(代客),3094,-741,宝城期货(代客),2204,111,宏源期货(代客),2168,165
2025-04-09,IF,IF2506,17,光大期货(代客),2853,-614,中泰期货(代客),2103,-460,中泰期货(代客),2094,-558
2025-04-09,IF,IF2506,18,南华期货(代客),2758,-454,兴证期货(代客),2016,11,华闻期货(代客),1859,-35
2025-04-09,IF,IF2506,19,方正中期(代客),2514,-62,浙商期货(代客),1970,-165,中金财富(代客),1791,-392
2025-04-09,IF,IF2506,20,五矿期货(代客),2440,340,中信建投(代客),1871,-121,宝城期货(代客),1500,-25
2025-04-09,IF,IF2509,1,国泰君安(代客),6800,-837,国泰君安(代客),7299,-86,海通期货(代客),13848,745
2025-04-09,IF,IF2509,2,中信期货(代客),6623,53,中信期货(代客),4708,316,中信期货(代客),8745,-127
2025-04-09,IF,IF2509,3,海通期货(代客),5611,866,海通期货(代客),2522,192,瑞银期货(代客),6575,0
2025-04-09,IF,IF2509,4,东证期货(代客),3448,117,东证期货(代客),2270,-53,国泰君安(代客),4596,-262
2025-04-09,IF,IF2509,5,国信期货(代客),2113,646,国投期货(代客),1634,19,摩根大通(代客),2219,0
2025-04-09,IF,IF2509,6,华闻期货(代客),2039,-29,华泰期货(代客),1557,15,中信建投(代客),2177,191
2025-04-09,IF,IF2509,7,五矿期货(代客),2035,1131,大越期货(代客),1494,129,东证期货(代客),2121,335
2025-04-09,IF,IF2509,8,银河期货(代客),883,54,银河期货(代客),1471,34,华泰期货(代客),1828,-378
2025-04-09,IF,IF2509,9,广发期货(代客),847,109,中信建投(代客),1388,-25,国信期货(代客),1476,-292
