date,product,main_contract,top20_rank_rows,top20_volume,top20_volume_chg,top20_long_oi,top20_long_oi_chg,top20_short_oi,top20_short_oi_chg,top20_net_oi,top20_net_oi_chg,net_buy_qty,net_sell_qty,long_chg_positive,short_chg_positive,net_chg_positive,main_contract_volume,main_contract_open_interest,close,settle,pre_settle
2025-04-09,IC,IC2504,20,142113,-2301,60503,-4742,60592,-4345,-89,-397,0,397,False,False,False,89534,77524,5387.2,5408.4,5231.4
2025-04-09,IF,IF2506,20,164989,-10906,107001,-2736,125525,-1394,-18524,-1342,0,1342,False,False,False,115307,150590,3614.0,3620.2,3538.6
2025-04-09,IH,IH2506,20,99230,-966,42555,-616,50528,-467,-7973,-149,0,149,False,False,False,65219,58795,2564.2,2563.2,2517.4
2025-04-09,IM,IM2506,20,415523,39946,126822,-5607,141517,-9063,-14695,3456,3456,0,False,False,True,307215,184548,5429.6,5451.0,5270.4
2025-04-10,IC,IC2504,20,98780,-42604,50012,-10081,50508,-9470,-496,-611,0,611,False,False,False,60899,65270,5509.0,5528.6,5408.4
2025-04-10,IF,IF2506,20,122775,-42070,98736,-8265,118337,-7188,-19601,-1077,0,1077,False,False,False,83748,141689,3673.0,3678.8,3620.2
2025-04-10,IH,IH2506,20,67227,-31161,33627,-8928,41453,-8898,-7826,-30,0,30,False,False,False,43873,48237,2582.2,2585.6,2563.2
2025-04-10,IM,IM2506,20,302165,-111113,118644,-8178,134170,-7084,-15526,-1094,0,1094,False,False,False,222566,174420,5578.2,5598.0,5451.0
2025-04-11,IC,IC2504,20,78610,-19419,47396,-2073,49324,-1047,-1928,-1026,0,1026,False,False,False,48540,62461,5555.8,5569.8,5528.6
2025-04-11,IF,IF2506,20,99050,-22388,97991,-745,117596,-741,-19605,-4,0,4,False,False,False,69617,139942,3686.6,3693.0,3678.8
2025-04-11,IH,IH2506,20,51357,-15331,33666,98,40866,-536,-7200,634,634,0,True,False,True,33127,47569,2595.6,2595.4,2585.6
2025-04-11,IM,IM2506,20,262052,-37996,116183,-2002,133652,-243,-17469,-1759,0,1759,False,False,False,192909,173299,5672.2,5685.4,5598.0
2025-04-14,IC,IC2504,20,61447,-15820,38978,-8235,40799,-8350,-1821,115,115,0,False,False,True,38051,51902,5584.8,5591.4,5569.8
2025-04-14,IF,IF2506,20,66256,-31481,93837,-4154,112197,-5155,-18360,1001,1001,0,False,False,True,45569,135018,3694.8,3699.0,3693.0
2025-04-14,IH,IH2506,20,39856,-11245,32510,-1156,39611,-1141,-7101,-15,0,15,False,False,False,26026,46111,2606.6,2610.0,2595.4
2025-04-14,IM,IM2506,20,182560,-79194,106191,-9026,124303,-9349,-18112,323,323,0,False,False,True,133293,162218,5693.0,5702.0,5685.4
2025-04-15,IC,IC2504,20,61315,570,35504,-3386,36771,-3959,-1267,573,573,0,False,False,True,38649,46610,5580.0,5571.6,5591.4
2025-04-15,IF,IF2506,20,67852,2504,96575,2738,113829,1632,-17254,1106,1106,0,True,True,True,44540,137582,3690.4,3688.6,3699.0
2025-04-15,IH,IH2506,20,33997,-5639,31742,-768,38505,-1022,-6763,254,254,0,False,False,True,21919,45206,2608.8,2606.4,2610.0
2025-04-15,IM,IM2506,20,176088,-4896,109641,3502,126427,2124,-16786,1378,1378,0,True,True,True,126870,164742,5680.4,5673.2,5702.0
2025-04-16,IC,IC2504,20,69694,8693,29081,-6328,29629,-6713,-548,385,385,0,False,False,True,44211,36562,5540.4,5525.2,5571.6
2025-04-16,IF,IF2506,20,85867,19293,100109,3534,115751,2132,-15642,1402,1402,0,True,True,True,58241,141540,3690.8,3677.6,3688.6
2025-04-16,IH,IH2506,20,47554,13819,33168,1519,39110,780,-5942,739,739,0,True,True,True,31223,46398,2620.0,2612.2,2606.4
2025-04-16,IM,IM2506,20,214116,39207,113315,4127,130216,3789,-16901,338,338,0,True,True,True,156339,171071,5603.0,5594.4,5673.2
2025-04-17,IC,IC2506,20,66968,9378,76220,2883,80781,4208,-4561,-1325,0,1325,True,True,False,44149,99918,5406.6,5422.2,5355.4
2025-04-17,IF,IF2506,20,80471,-4187,100120,11,117599,2515,-17479,-2504,0,2504,True,True,False,55799,141593,3710.6,3712.8,3677.6
2025-04-17,IH,IH2506,20,42555,-4481,31281,-1860,37539,-1437,-6258,-423,0,423,False,False,False,28211,44853,2633.6,2634.6,2612.2
2025-04-17,IM,IM2506,20,215263,2299,111333,-1653,129472,-692,-18139,-961,0,961,False,False,False,156019,168300,5653.8,5672.6,5594.4
2025-04-18,IC,IC2506,20,64714,-902,76387,442,81208,586,-4821,-144,0,144,True,True,False,42314,100600,5400.0,5423.8,5422.2
2025-04-18,IF,IF2506,20,67135,-12934,98161,-1959,115106,-2493,-16945,534,534,0,False,False,True,45646,139841,3708.8,3714.6,3712.8
2025-04-18,IH,IH2506,20,38675,-3216,30798,-441,37333,-205,-6535,-236,0,236,False,False,False,25557,44395,2633.4,2633.0,2634.6
2025-04-18,IM,IM2506,20,204938,-9509,110072,-1205,129511,39,-19439,-1244,0,1244,False,True,False,150566,168687,5642.0,5670.4,5672.6
2025-04-21,IC,IC2506,20,64032,-366,75835,-456,80794,-347,-4959,-109,0,109,False,False,False,42483,99810,5499.8,5507.6,5423.8
2025-04-21,IF,IF2506,20,64252,-2740,98433,484,115868,762,-17435,-278,0,278,True,True,False,44191,139536,3733.2,3738.6,3714.6
2025-04-21,IH,IH2506,20,34826,-3637,29990,-348,37310,-5,-7320,-343,0,343,False,False,False,23857,43953,2631.4,2636.2,2633.0
2025-04-21,IM,IM2506,20,186971,-16159,108790,-1227,126489,-2618,-17699,1391,1391,0,False,False,True,137318,166314,5770.0,5770.0,5670.4
2025-04-22,IC,IC2506,20,55568,-7676,74194,-1641,78383,-2411,-4189,770,770,0,False,False,True,37064,97788,5486.0,5497.0,5507.6
2025-04-22,IF,IF2506,20,57070,-7182,96400,-2005,113380,-2488,-16980,483,483,0,False,False,True,37955,136331,3733.0,3740.0,3738.6
2025-04-22,IH,IH2506,20,29101,-5186,29328,-662,35964,-1346,-6636,684,684,0,False,False,True,19683,42709,2637.4,2641.4,2636.2
2025-04-22,IM,IM2506,20,177768,-8067,107824,-582,125041,-1313,-17217,731,731,0,False,False,True,130317,163968,5769.6,5782.6,5770.0
2025-04-23,IC,IC2506,20,69480,14117,77819,4089,81964,3581,-4145,508,508,0,True,True,True,45995,101966,5495.0,5495.8,5497.0
2025-04-23,IF,IF2506,20,72728,15658,96572,202,113038,-279,-16466,481,481,0,True,False,True,48170,137093,3734.0,3735.2,3740.0
2025-04-23,IH,IH2506,20,34164,5363,30465,1137,36578,614,-6113,523,523,0,True,True,True,23296,43864,2627.4,2627.6,2641.4
2025-04-23,IM,IM2506,20,200211,22605,109921,2156,127420,2395,-17499,-239,0,239,True,True,False,146296,166689,5820.0,5821.6,5782.6
2025-04-24,IC,IC2506,20,60256,-9143,75694,-2123,79811,-2143,-4117,20,20,0,False,False,True,39686,99171,5478.0,5475.4,5495.8
2025-04-24,IF,IF2506,20,70907,-619,97306,774,113044,6,-15738,768,768,0,True,True,True,48747,136827,3736.8,3737.0,3735.2
2025-04-24,IH,IH2506,20,35498,1603,30620,409,36323,-180,-5703,589,589,0,True,False,True,24156,43465,2635.8,2635.2,2627.6
2025-04-24,IM,IM2506,20,186221,-12405,108175,-1746,124443,-2977,-16268,1231,1231,0,False,False,True,135094,163863,5767.4,5761.6,5821.6
2025-04-25,IC,IC2506,20,66509,7096,75611,-83,80132,396,-4521,-479,0,479,False,True,False,43767,99051,5498.6,5499.8,5475.4
2025-04-25,IF,IF2506,20,69936,-498,96865,245,112898,-146,-16033,391,391,0,True,False,True,47168,136227,3739.2,3737.6,3737.0
2025-04-25,IH,IH2506,20,39365,4347,31912,1609,37415,1152,-5503,457,457,0,True,True,True,26636,44804,2628.0,2626.4,2635.2
2025-04-25,IM,IM2506,20,202361,16140,111436,3511,127892,3449,-16456,62,62,0,True,True,True,147686,167733,5786.6,5785.0,5761.6
2025-04-28,IC,IC2506,20,57249,-8801,73938,-1673,78039,-2071,-4101,398,398,0,False,False,True,37058,96080,5471.0,5474.4,5499.8
2025-04-28,IF,IF2506,20,57782,-12154,96011,-854,111522,-1192,-15511,338,338,0,False,False,True,38102,134340,3730.6,3732.8,3737.6
2025-04-28,IH,IH2506,20,32151,-6937,30390,-1425,35747,-1668,-5357,243,243,0,False,False,True,21403,42616,2628.0,2630.4,2626.4
2025-04-28,IM,IM2506,20,167828,-33834,105518,-5728,121375,-6438,-15857,710,710,0,False,False,True,120927,159258,5729.0,5733.2,5785.0
2025-04-29,IC,IC2506,20,52690,-3967,72856,-794,78443,430,-5587,-1224,0,1224,False,True,False,34048,95869,5487.2,5487.6,5474.4
2025-04-29,IF,IF2506,20,55589,-1630,96159,148,111367,-155,-15208,303,303,0,True,False,True,37569,134140,3724.8,3725.8,3732.8
2025-04-29,IH,IH2506,20,31046,-748,30741,428,35977,230,-5236,198,198,0,True,True,True,20683,43068,2621.2,2623.2,2630.4
2025-04-29,IM,IM2506,20,159634,-6605,105756,740,122766,1391,-17010,-651,0,651,True,True,False,116166,159461,5773.6,5769.0,5733.2
2025-04-30,IC,IC2506,20,59313,7518,71322,-1497,77288,-1155,-5966,-342,0,342,False,False,False,38409,94639,5497.0,5512.0,5487.6
2025-04-30,IF,IF2506,20,62541,7066,98779,2620,114015,2648,-15236,-28,0,28,True,True,False,42386,136357,3716.2,3724.0,3725.8
