date,IC_main_contract,IF_main_contract,IH_main_contract,IM_main_contract,IC_top20_rank_rows,IF_top20_rank_rows,IH_top20_rank_rows,IM_top20_rank_rows,IC_top20_volume,IF_top20_volume,IH_top20_volume,IM_top20_volume,IC_top20_volume_chg,IF_top20_volume_chg,IH_top20_volume_chg,IM_top20_volume_chg,IC_top20_long_oi,IF_top20_long_oi,IH_top20_long_oi,IM_top20_long_oi,IC_top20_long_oi_chg,IF_top20_long_oi_chg,IH_top20_long_oi_chg,IM_top20_long_oi_chg,IC_top20_short_oi,IF_top20_short_oi,IH_top20_short_oi,IM_top20_short_oi,IC_top20_short_oi_chg,IF_top20_short_oi_chg,IH_top20_short_oi_chg,IM_top20_short_oi_chg,IC_top20_net_oi,IF_top20_net_oi,IH_top20_net_oi,IM_top20_net_oi,IC_top20_net_oi_chg,IF_top20_net_oi_chg,IH_top20_net_oi_chg,IM_top20_net_oi_chg,IC_net_buy_qty,IF_net_buy_qty,IH_net_buy_qty,IM_net_buy_qty,IC_net_sell_qty,IF_net_sell_qty,IH_net_sell_qty,IM_net_sell_qty,IC_long_chg_positive,IF_long_chg_positive,IH_long_chg_positive,IM_long_chg_positive,IC_short_chg_positive,IF_short_chg_positive,IH_short_chg_positive,IM_short_chg_positive,IC_net_chg_positive,IF_net_chg_positive,IH_net_chg_positive,IM_net_chg_positive,IC_main_contract_volume,IF_main_contract_volume,IH_main_contract_volume,IM_main_contract_volume,IC_main_contract_open_interest,IF_main_contract_open_interest,IH_main_contract_open_interest,IM_main_contract_open_interest,IC_close,IF_close,IH_close,IM_close,IC_settle,IF_settle,IH_settle,IM_settle,IC_pre_settle,IF_pre_settle,IH_pre_settle,IM_pre_settle,return_pct,next_date,next_return_pct,next_up,all_products_net_oi_chg_sum,all_products_long_oi_chg_sum,all_products_short_oi_chg_sum
2025-04-09,IC2504,IF2506,IH2506,IM2506,20,20,20,20,142113,164989,99230,415523,-2301,-10906,-966,39946,60503,107001,42555,126822,-4742,-2736,-616,-5607,60592,125525,50528,141517,-4345,-1394,-467,-9063,-89,-18524,-7973,-14695,-397,-1342,-149,3456,0,0,0,3456,397,1342,149,0,False,False,False,False,False,False,False,False,False,False,False,True,89534,115307,65219,307215,77524,150590,58795,184548,5387.2,3614.0,2564.2,5429.6,5408.4,3620.2,2563.2,5451.0,5231.4,3538.6,2517.4,5270.4,0.9808130151985228,2025-04-10,2.2692051055769547,True,1568,-13701,-15269
2025-04-10,IC2504,IF2506,IH2506,IM2506,20,20,20,20,98780,122775,67227,302165,-42604,-42070,-31161,-111113,50012,98736,33627,118644,-10081,-8265,-8928,-8178,50508,118337,41453,134170,-9470,-7188,-8898,-7084,-496,-19601,-7826,-15526,-611,-1077,-30,-1094,0,0,0,0,611,1077,30,1094,False,False,False,False,False,False,False,False,False,False,False,False,60899,83748,43873,222566,65270,141689,48237,174420,5509.0,3673.0,2582.2,5578.2,5528.6,3678.8,2585.6,5598.0,5408.4,3620.2,2563.2,5451.0,2.2692051055769547,2025-04-11,1.3596207373732572,True,-2812,-35452,-32640
2025-04-11,IC2504,IF2506,IH2506,IM2506,20,20,20,20,78610,99050,51357,262052,-19419,-22388,-15331,-37996,47396,97991,33666,116183,-2073,-745,98,-2002,49324,117596,40866,133652,-1047,-741,-536,-243,-1928,-19605,-7200,-17469,-1026,-4,634,-1759,0,0,634,0,1026,4,0,1759,False,False,True,False,False,False,False,False,False,False,True,False,48540,69617,33127,192909,62461,139942,47569,173299,5555.8,3686.6,2595.6,5672.2,5569.8,3693.0,2595.4,5685.4,5528.6,3678.8,2585.6,5598.0,1.3596207373732572,2025-04-14,0.3394986425245605,True,-2155,-4722,-2567
2025-04-14,IC2504,IF2506,IH2506,IM2506,20,20,20,20,61447,66256,39856,182560,-15820,-31481,-11245,-79194,38978,93837,32510,106191,-8235,-4154,-1156,-9026,40799,112197,39611,124303,-8350,-5155,-1141,-9349,-1821,-18360,-7101,-18112,115,1001,-15,323,115,1001,0,323,0,0,15,0,False,False,False,False,False,False,False,False,True,True,False,True,38051,45569,26026,133293,51902,135018,46111,162218,5584.8,3694.8,2606.6,5693.0,5591.4,3699.0,2610.0,5702.0,5569.8,3693.0,2595.4,5685.4,0.3394986425245605,2025-04-15,-0.1298560201975274,False,1424,-22571,-23995
2025-04-15,IC2504,IF2506,IH2506,IM2506,20,20,20,20,61315,67852,33997,176088,570,2504,-5639,-4896,35504,96575,31742,109641,-3386,2738,-768,3502,36771,113829,38505,126427,-3959,1632,-1022,2124,-1267,-17254,-6763,-16786,573,1106,254,1378,573,1106,254,1378,0,0,0,0,False,True,False,True,False,True,False,True,True,True,True,True,38649,44540,21919,126870,46610,137582,45206,164742,5580.0,3690.4,2608.8,5680.4,5571.6,3688.6,2606.4,5673.2,5591.4,3699.0,2610.0,5702.0,-0.1298560201975274,2025-04-16,-1.2064857024451037,False,3311,2086,-1225
2025-04-16,IC2504,IF2506,IH2506,IM2506,20,20,20,20,69694,85867,47554,214116,8693,19293,13819,39207,29081,100109,33168,113315,-6328,3534,1519,4127,29629,115751,39110,130216,-6713,2132,780,3789,-548,-15642,-5942,-16901,385,1402,739,338,385,1402,739,338,0,0,0,0,False,True,True,True,False,True,True,True,True,True,True,True,44211,58241,31223,156339,36562,141540,46398,171071,5540.4,3690.8,2620.0,5603.0,5525.2,3677.6,2612.2,5594.4,5571.6,3688.6,2606.4,5673.2,-1.2064857024451037,2025-04-17,0.08756705171699686,True,2864,2852,-12
2025-04-17,IC2506,IF2506,IH2506,IM2506,20,20,20,20,66968,80471,42555,215263,9378,-4187,-4481,2299,76220,100120,31281,111333,2883,11,-1860,-1653,80781,117599,37539,129472,4208,2515,-1437,-692,-4561,-17479,-6258,-18139,-1325,-2504,-423,-961,0,0,0,0,1325,2504,423,961,True,True,False,False,True,True,False,False,False,False,False,False,44149,55799,28211,156019,99918,141593,44853,168300,5406.6,3710.6,2633.6,5653.8,5422.2,3712.8,2634.6,5672.6,5355.4,3677.6,2612.2,5594.4,0.08756705171699686,2025-04-18,0.271901423946197,True,-5213,-619,4594
2025-04-18,IC2506,IF2506,IH2506,IM2506,20,20,20,20,64714,67135,38675,204938,-902,-12934,-3216,-9509,76387,98161,30798,110072,442,-1959,-441,-1205,81208,115106,37333,129511,586,-2493,-205,39,-4821,-16945,-6535,-19439,-144,534,-236,-1244,0,534,0,0,144,0,236,1244,True,False,False,False,True,False,False,True,False,True,False,False,42314,45646,25557,150566,100600,139841,44395,168687,5400.0,3708.8,2633.4,5642.0,5423.8,3714.6,2633.0,5670.4,5422.2,3712.8,2634.6,5672.6,0.271901423946197,2025-04-21,1.585709284889525,True,-1090,-3163,-2073
2025-04-21,IC2506,IF2506,IH2506,IM2506,20,20,20,20,64032,64252,34826,186971,-366,-2740,-3637,-16159,75835,98433,29990,108790,-456,484,-348,-1227,80794,115868,37310,126489,-347,762,-5,-2618,-4959,-17435,-7320,-17699,-109,-278,-343,1391,0,0,0,1391,109,278,343,0,False,True,False,False,False,True,False,False,False,False,False,True,42483,44191,23857,137318,99810,139536,43953,166314,5499.8,3733.2,2631.4,5770.0,5507.6,3738.6,2636.2,5770.0,5423.8,3714.6,2633.0,5670.4,1.585709284889525,2025-04-22,-0.8172523041474644,False,661,-1547,-2208
2025-04-22,IC2506,IF2506,IH2506,IM2506,20,20,20,20,55568,57070,29101,177768,-7676,-7182,-5186,-8067,74194,96400,29328,107824,-1641,-2005,-662,-582,78383,113380,35964,125041,-2411,-2488,-1346,-1313,-4189,-16980,-6636,-17217,770,483,684,731,770,483,684,731,0,0,0,0,False,False,False,False,False,False,False,False,True,True,True,True,37064,37955,19683,130317,97788,136331,42709,163968,5486.0,3733.0,2637.4,5769.6,5497.0,3740.0,2641.4,5782.6,5507.6,3738.6,2636.2,5770.0,-0.8172523041474644,2025-04-23,1.0749677198550023,True,2668,-4890,-7558
2025-04-23,IC2506,IF2506,IH2506,IM2506,20,20,20,20,69480,72728,34164,200211,14117,15658,5363,22605,77819,96572,30465,109921,4089,202,1137,2156,81964,113038,36578,127420,3581,-279,614,2395,-4145,-16466,-6113,-17499,508,481,523,-239,508,481,523,0,0,0,0,239,True,True,True,True,True,False,True,True,True,True,True,False,45995,48170,23296,146296,101966,137093,43864,166689,5495.0,3734.0,2627.4,5820.0,5495.8,3735.2,2627.6,5821.6,5497.0,3740.0,2641.4,5782.6,1.0749677198550023,2025-04-24,-0.6823452153748355,False,1273,7584,6311
