合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,Delta
HO2606-C-2400,419.6,419.6,399,30,125.246,45,-6,414.8,413,449.2,-34.4,-36.2,0.9560
HO2606-C-2450,353.6,365,349.4,34,125.624,13,-6,365,363.4,399.2,-34.2,-35.8,0.9490
HO2606-C-2500,322,322,298.8,34,108.332,108,7,315.4,314,349.4,-34,-35.4,0.9390
HO2606-C-2550,250.8,265.8,250.8,15,39.248,27,3,259.8,264,299.6,-39.8,-35.6,0.9300
HO2606-C-2600,225,230,201.2,39,87.988,62,-6,219.2,215.4,250.2,-31,-34.8,0.9080
HO2606-C-2650,177.2,187.2,155.8,113,194.148,93,32,161,167.6,199.2,-38.2,-31.6,0.8730
HO2606-C-2700,129.6,140.2,107,579,707.244,460,245,121.2,121.8,149.6,-28.4,-27.8,0.8120
HO2606-C-2750,85.2,96,68.8,1217,997.606,659,334,79.4,81,106.6,-27.2,-25.6,0.7000
HO2606-C-2800,50,71,38.4,5266,2565.456,2641,755,45.4,45.4,65,-19.6,-19.6,0.5400
HO2606-C-2850,25,35.8,19.8,4966,1269.596,3071,1225,22.8,22.8,34.2,-11.4,-11.4,0.3460
HO2606-C-2900,12,16.2,9.6,5633,701.98,4856,133,11,11,16.6,-5.6,-5.6,0.1960
HO2606-C-2950,5,8.4,4.8,2446,155.826,4325,-189,5.6,5.6,7.8,-2.2,-2.2,0.1080
HO2606-C-3000,2.8,5,2.4,2393,82.838,6234,-537,3,3,4.6,-1.6,-1.6,0.0600
HO2606-C-3050,2,2.8,1.8,1142,23.878,2619,-300,2,2,2.4,-0.4,-0.4,0.0390
HO2606-C-3100,1.4,1.8,1,927,13.448,3568,-309,1.4,1.4,1.6,-0.2,-0.2,0.0280
HO2606-C-3150,1.6,1.6,1,572,7.342,1614,-92,1.4,1.2,1.2,0.2,0,0.0220
HO2606-C-3200,1.2,1.2,0.8,293,3.058,1333,-136,1,1,1,0,0,0.0180
HO2606-C-3250,1.2,1.2,0.6,56,0.454,306,1,0.8,0.8,0.8,0,0,0.0130
HO2606-C-3300,1,1,0.6,73,0.572,1220,-12,0.8,0.8,0.8,0,0,0.0120
HO2606-C-3350,0.8,0.8,0.6,43,0.29,253,-2,0.8,0.6,0.8,0,-0.2,0.0090
HO2606-C-3400,1,1,0.8,176,1.524,1159,-3,1,0.6,0.8,0.2,-0.2,0.0050
HO2606-C-3500,0.6,0.8,0.4,159,1.08,2283,-73,0.6,0.6,0.8,-0.2,-0.2,0.0080
HO2606-P-2400,0.6,0.8,0.6,102,0.616,702,-13,0.6,0.6,0.6,0,0,-0.0090
HO2606-P-2450,0.8,1,0.6,134,0.97,99,-7,0.8,0.8,0.6,0.2,0.2,-0.0130
HO2606-P-2500,1.2,1.4,0.8,136,1.304,198,7,1,1,0.6,0.4,0.4,-0.0170
HO2606-P-2550,1.6,2,1.4,137,2.164,228,37,1.4,1.4,0.8,0.6,0.6,-0.0260
HO2606-P-2600,2.4,3.8,1.8,461,11.348,589,88,2.6,2.4,1.2,1.4,1.2,-0.0450
HO2606-P-2650,4,7.4,3.4,446,23.976,881,38,5.2,4.8,2.4,2.8,2.4,-0.0850
HO2606-P-2700,4.4,13.4,4.4,1803,157.766,1665,155,8.8,8.8,4.4,4.4,4.4,-0.1520
HO2606-P-2750,18.2,25.4,10,3643,666.498,1932,616,17.4,17.4,9,8.4,8.4,-0.2740
