交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20250508,IH2505,1,中信期货(代客),5333,-641,国泰君安(代客),3280,-228,中信期货(代客),2939,-123
20250508,IH2505,2,国泰君安(代客),4869,-102,中信期货(代客),2793,-384,国泰君安(代客),2569,-559
20250508,IH2505,3,海通期货(代客),2427,50,海通期货(代客),1264,22,海通期货(代客),1141,-1
20250508,IH2505,4,国信期货(代客),1509,109,瑞银期货(代客),1019,-23,东证期货(代客),986,353
20250508,IH2505,5,东证期货(代客),1270,129,国信期货(代客),1016,-107,广发期货(代客),982,-98
20250508,IH2505,6,国投期货(代客),986,196,东证期货(代客),609,87,中银期货(代客),952,-176
20250508,IH2505,7,光大期货(代客),812,137,宝城期货(代客),579,-39,华泰期货(代客),781,-258
20250508,IH2505,8,华闻期货(代客),778,-441,光大期货(代客),474,-354,国信期货(代客),769,-132
20250508,IH2505,9,华泰期货(代客),677,-341,华闻期货(代客),447,-39,银河期货(代客),650,-85
20250508,IH2505,10,广发期货(代客),634,-247,银河期货(代客),427,-25,国投期货(代客),512,52
20250508,IH2505,11,瑞达期货(代客),528,-92,国投期货(代客),382,80,中金期货(代客),496,22
20250508,IH2505,12,银河期货(代客),486,-183,广发期货(代客),353,-72,光大期货(代客),423,24
20250508,IH2505,13,中泰期货(代客),432,32,永安期货(代客),330,23,华闻期货(代客),410,11
20250508,IH2505,14,兴证期货(代客),372,80,中信建投(代客),317,-10,宏源期货(代客),266,-115
20250508,IH2505,15,南华期货(代客),324,-59,中泰期货(代客),258,7,国富期货(代客),246,0
20250508,IH2505,16,中信建投(代客),302,-40,华泰期货(代客),257,-39,南华期货(代客),224,-5
20250508,IH2505,17,宝城期货(代客),300,-26,浙商期货(代客),206,-53,中金财富(代客),177,-19
20250508,IH2505,18,申银万国(代客),294,47,中金财富(代客),203,8,兴证期货(代客),176,40
20250508,IH2505,19,宏源期货(代客),258,77,南华期货(代客),187,-139,上海中期(代客),172,22
20250508,IH2505,20,招商期货(代客),244,-136,瑞达期货(代客),183,-23,中信建投(代客),168,-12
20250508,IH2506,1,国泰君安(代客),10519,1136,国泰君安(代客),7369,233,国泰君安(代客),9102,938
20250508,IH2506,2,中信期货(代客),8966,-668,中信期货(代客),5039,-611,中信期货(代客),5187,-441
20250508,IH2506,3,海通期货(代客),4306,597,东证期货(代客),3185,72,广发期货(代客),4024,86
20250508,IH2506,4,东证期货(代客),4114,380,海通期货(代客),2223,162,国投期货(代客),3472,-96
20250508,IH2506,5,华泰期货(代客),2005,127,中泰期货(代客),1943,413,瑞银期货(代客),2303,0
20250508,IH2506,6,国投期货(代客),1939,264,银河期货(代客),1774,285,东证期货(代客),2300,-240
20250508,IH2506,7,国信期货(代客),1807,-65,国投期货(代客),1499,49,海通期货(代客),1639,104
20250508,IH2506,8,银河期货(代客),1695,300,华泰期货(代客),1454,342,光大期货(代客),1585,-83
20250508,IH2506,9,广发期货(代客),1577,222,广发期货(代客),1408,77,银河期货(代客),1355,130
20250508,IH2506,10,中信建投(代客),1284,213,国信期货(代客),1393,-136,国信期货(代客),1244,77
20250508,IH2506,11,中泰期货(代客),1271,493,南华期货(代客),879,-18,华泰期货(代客),1227,63
20250508,IH2506,12,华闻期货(代客),1252,-315,华闻期货(代客),788,20,永安期货(代客),1118,5
20250508,IH2506,13,东方财富(代客),1029,136,平安期货(代客),762,48,宏源期货(代客),817,7
20250508,IH2506,14,平安期货(代客),936,285,中信建投(代客),748,-39,中信建投(代客),726,73
20250508,IH2506,15,光大期货(代客),792,-54,永安期货(代客),715,8,华闻期货(代客),721,172
20250508,IH2506,16,招商期货(代客),676,-21,申银万国(代客),664,-15,中银期货(代客),620,92
