交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20250904,IM2509,1,中信期货(代客),71115,7303,中信期货(代客),29581,1260,中信期货(代客),38269,1669
20250904,IM2509,2,国泰君安(代客),69074,5251,国泰君安(代客),24651,-194,国泰君安(代客),27412,-190
20250904,IM2509,3,海通期货(代客),24626,3336,东证期货(代客),8455,221,华泰期货(代客),9287,-708
20250904,IM2509,4,中泰期货(代客),23318,3727,海通期货(代客),6457,-1415,海通期货(代客),8599,-719
20250904,IM2509,5,东证期货(代客),21865,2344,华泰期货(代客),5585,-1112,东证期货(代客),8051,-922
20250904,IM2509,6,华闻期货(代客),13007,1691,银河期货(代客),5498,-1041,银河期货(代客),5533,-532
20250904,IM2509,7,银河期货(代客),12397,1444,中泰期货(代客),5325,334,国投期货(代客),5475,-269
20250904,IM2509,8,国信期货(代客),12011,347,广发期货(代客),4810,68,华闻期货(代客),5079,765
20250904,IM2509,9,广发期货(代客),11765,1539,光大期货(代客),4445,120,广发期货(代客),4827,31
20250904,IM2509,10,华泰期货(代客),11106,1306,华闻期货(代客),4324,844,中泰期货(代客),4695,252
20250904,IM2509,11,中信建投(代客),8913,974,申银万国(代客),4103,276,国信期货(代客),4621,76
20250904,IM2509,12,光大期货(代客),7639,2121,国投期货(代客),3745,612,永安期货(代客),3450,97
20250904,IM2509,13,瑞达期货(代客),7088,800,一德期货(代客),3719,-140,申银万国(代客),3286,61
20250904,IM2509,14,申银万国(代客),6473,-837,中信建投(代客),3596,80,光大期货(代客),3003,3
20250904,IM2509,15,东海期货(代客),6317,2042,国信期货(代客),3423,213,中信建投(代客),2981,59
20250904,IM2509,16,浙商期货(代客),5821,1511,浙商期货(代客),3200,330,国富期货(代客),2941,-20
20250904,IM2509,17,永安期货(代客),5731,999,永安期货(代客),2799,114,招商期货(代客),2577,26
20250904,IM2509,18,南华期货(代客),5615,-244,招商期货(代客),2697,84,东海期货(代客),2068,86
20250904,IM2509,19,国投期货(代客),5421,1556,东海期货(代客),2334,125,中金财富(代客),2050,-12
20250904,IM2509,20,东方财富(代客),5380,515,南华期货(代客),2324,-49,南华期货(代客),1867,-278
20250904,IM2510,1,中信期货(代客),5285,1005,中信期货(代客),3777,423,中信期货(代客),6710,790
20250904,IM2510,2,国泰君安(代客),4100,413,国泰君安(代客),2652,241,国泰君安(代客),4488,273
20250904,IM2510,3,海通期货(代客),3426,-126,海通期货(代客),2094,654,华泰期货(代客),1432,314
20250904,IM2510,4,东证期货(代客),3169,296,广发期货(代客),1129,113,海通期货(代客),1343,358
20250904,IM2510,5,华泰期货(代客),1684,983,一德期货(代客),1126,13,东证期货(代客),1057,283
20250904,IM2510,6,广发期货(代客),1233,413,东证期货(代客),1075,96,国投期货(代客),603,71
20250904,IM2510,7,华闻期货(代客),939,-105,华泰期货(代客),1010,56,广发期货(代客),574,-268
20250904,IM2510,8,中泰期货(代客),915,204,摩根大通(代客),901,0,招商期货(代客),495,54
20250904,IM2510,9,五矿期货(代客),772,171,国投期货(代客),778,75,瑞银期货(代客),465,51
20250904,IM2510,10,国信期货(代客),567,84,中信建投(代客),678,200,国信期货(代客),345,60
20250904,IM2510,11,光大期货(代客),566,105,宝城期货(代客),608,5,五矿期货(代客),335,34
20250904,IM2510,12,中信建投(代客),525,206,光大期货(代客),515,-1,银河期货(代客),329,16
20250904,IM2510,13,南华期货(代客),521,157,大越期货(代客),509,1,兴证期货(代客),271,0
20250904,IM2510,14,银河期货(代客),516,193,方正中期(代客),458,29,中泰期货(代客),268,20
20250904,IM2510,15,瑞达期货(代客),336,-174,中泰期货(代客),403,13,华闻期货(代客),240,-215
20250904,IM2510,16,招商期货(代客),325,50,国信期货(代客),354,87,永安期货(代客),236,2
20250904,IM2510,17,上海东亚(代客),322,189,国联期货(代客),312,-6,瑞达期货(代客),225,-56
20250904,IM2510,18,国投期货(代客),298,59,招商期货(代客),279,9,光大期货(代客),207,-11
20250904,IM2510,19,徽商期货(代客),258,173,五矿期货(代客),271,72,南华期货(代客),188,53
20250904,IM2510,20,永安期货(代客),253,104,申银万国(代客),256,-25,中银期货(代客),186,-2
20250904,IM2512,1,中信期货(代客),32165,3226,国泰君安(代客),16870,-573,中信期货(代客),24299,1964
20250904,IM2512,2,国泰君安(代客),28470,2412,中信期货(代客),15451,1383,国泰君安(代客),15669,-37
20250904,IM2512,3,海通期货(代客),11591,790,一德期货(代客),6756,148,华泰期货(代客),8252,495
20250904,IM2512,4,东证期货(代客),7539,414,海通期货(代客),5571,-498,国信期货(代客),6435,679
20250904,IM2512,5,中泰期货(代客),7450,1114,宝城期货(代客),4054,439,摩根大通(代客),6272,1
20250904,IM2512,6,华闻期货(代客),7413,1074,东证期货(代客),3995,112,海通期货(代客),5044,-337
20250904,IM2512,7,国信期货(代客),6471,441,银河期货(代客),3543,224,广发期货(代客),4947,-7
20250904,IM2512,8,华泰期货(代客),4802,1128,国投期货(代客),3193,313,国投期货(代客),4258,-35
20250904,IM2512,9,银河期货(代客),4706,661,中泰期货(代客),2944,195,光大期货(代客),4002,158
20250904,IM2512,10,广发期货(代客),3646,726,广发期货(代客),2770,273,东证期货(代客),3756,-57
20250904,IM2512,11,中信建投(代客),3580,470,国信期货(代客),2746,322,中泰期货(代客),3343,789
20250904,IM2512,12,浙商期货(代客),3132,1739,华泰期货(代客),2732,-43,银河期货(代客),3213,84
20250904,IM2512,13,东海期货(代客),2936,1705,南华期货(代客),2337,-193,招商期货(代客),3045,154
20250904,IM2512,14,瑞达期货(代客),2860,428,申银万国(代客),2311,-326,中金期货(代客),2672,-299
20250904,IM2512,15,光大期货(代客),2767,56,方正中期(代客),2239,-153,申银万国(代客),2670,-128
20250904,IM2512,16,五矿期货(代客),2636,-16,华闻期货(代客),2184,76,华闻期货(代客),2418,103
20250904,IM2512,17,招商期货(代客),2620,670,浙商期货(代客),1957,278,永安期货(代客),2281,135
20250904,IM2512,18,东兴期货(代客),2543,274,招商期货(代客),1860,352,中金财富(代客),1718,149
20250904,IM2512,19,南华期货(代客),2432,816,光大期货(代客),1800,89,中信建投(代客),1567,-142
20250904,IM2512,20,方正中期(代客),2021,-52,中信建投(代客),1648,208,瑞达期货(代客),1173,80
20250904,IM2603,1,中信期货(代客),10431,206,国泰君安(代客),9637,140,中信期货(代客),13340,739
20250904,IM2603,2,国泰君安(代客),8348,188,中信期货(代客),7332,620,国泰君安(代客),7486,76
20250904,IM2603,3,海通期货(代客),4498,200,一德期货(代客),3394,10,海通期货(代客),6856,-483
20250904,IM2603,4,东证期货(代客),3487,296,海通期货(代客),2799,-477,华泰期货(代客),3520,195
20250904,IM2603,5,华闻期货(代客),2463,261,东证期货(代客),2435,131,摩根大通(代客),2755,3
20250904,IM2603,6,五矿期货(代客),1934,470,宝城期货(代客),2290,292,中信建投(代客),2617,40
20250904,IM2603,7,国信期货(代客),1760,-244,华泰期货(代客),2224,55,国投期货(代客),2421,-26
20250904,IM2603,8,银河期货(代客),1488,412,大越期货(代客),1888,-31,瑞银期货(代客),2060,-3
20250904,IM2603,9,申银万国(代客),1453,630,申银万国(代客),1790,7,国信期货(代客),1682,-73
20250904,IM2603,10,中泰期货(代客),1238,236,平安期货(代客),1367,82,银河期货(代客),1633,222
20250904,IM2603,11,华泰期货(代客),1136,452,银河期货(代客),1354,-22,东证期货(代客),1484,78
20250904,IM2603,12,广发期货(代客),887,-32,金瑞期货(代客),1306,-39,广发期货(代客),1297,-16
20250904,IM2603,13,中信建投(代客),884,-62,永安期货(代客),1303,-92,平安期货(代客),1151,0
20250904,IM2603,14,光大期货(代客),840,231,浙商期货(代客),1264,52,光大期货(代客),1150,165
20250904,IM2603,15,东方财富(代客),824,-85,大地期货(代客),1095,-15,永安期货(代客),967,-20
20250904,IM2603,16,南华期货(代客),820,146,广发期货(代客),1093,33,招商期货(代客),888,-10
20250904,IM2603,17,招商期货(代客),749,178,国联期货(代客),1041,-19,华闻期货(代客),804,127
20250904,IM2603,18,宝城期货(代客),730,369,南华期货(代客),969,7,中泰期货(代客),802,-11
20250904,IM2603,19,瑞达期货(代客),686,82,国信期货(代客),929,-55,华鑫期货(代客),743,-17
20250904,IM2603,20,平安期货(代客),640,134,五矿期货(代客),891,247,中金财富(代客),735,13
