交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20251204,IC2512,1,中信期货(代客),24779,-2762,国泰君安(代客),19696,-3306,中信期货(代客),19633,-2036
20251204,IC2512,2,国泰君安(代客),21479,-1212,中信期货(代客),16530,-2513,国泰君安(代客),16116,-2639
20251204,IC2512,3,海通期货(代客),8458,-237,东证期货(代客),6595,-305,华泰期货(代客),9239,-320
20251204,IC2512,4,东证期货(代客),6831,-135,海通期货(代客),6400,-990,海通期货(代客),6349,-960
20251204,IC2512,5,国信期货(代客),4797,-432,银河期货(代客),4802,-126,东证期货(代客),6070,-334
20251204,IC2512,6,中泰期货(代客),4491,402,国信期货(代客),4187,-300,中银期货(代客),4668,-410
20251204,IC2512,7,华泰期货(代客),3186,-268,南华期货(代客),3279,-69,国投期货(代客),4259,-214
20251204,IC2512,8,广发期货(代客),2551,243,华泰期货(代客),3170,-338,银河期货(代客),3741,-144
20251204,IC2512,9,银河期货(代客),2292,-329,中泰期货(代客),2595,-198,瑞银期货(代客),3277,246
20251204,IC2512,10,华闻期货(代客),2062,-214,国投期货(代客),2421,86,中金期货(代客),3110,8
20251204,IC2512,11,中信建投(代客),1878,269,浙商期货(代客),2363,164,国信期货(代客),2468,-235
20251204,IC2512,12,光大期货(代客),1709,-181,永安期货(代客),2362,-69,光大期货(代客),2424,254
20251204,IC2512,13,瑞达期货(代客),1649,-196,宏源期货(代客),2201,114,永安期货(代客),2196,-107
20251204,IC2512,14,南华期货(代客),1620,-37,中信建投(代客),2109,18,招商期货(代客),2172,-165
20251204,IC2512,15,国投期货(代客),1620,176,申银万国(代客),2083,89,中金财富(代客),2083,-27
20251204,IC2512,16,华鑫期货(代客),1601,16,光大期货(代客),1897,-101,中泰期货(代客),1905,-205
20251204,IC2512,17,平安期货(代客),1517,132,招商期货(代客),1675,-164,平安期货(代客),1840,-154
20251204,IC2512,18,招商期货(代客),1473,-228,广发期货(代客),1670,-7,广发期货(代客),1783,264
