交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20260204,IF2602,1,中信期货(代客),9320,-1305,国泰君安(代客),6208,-846,国泰君安(代客),5250,-768
20260204,IF2602,2,国泰君安(代客),6646,-2853,中信期货(代客),4207,-875,中信期货(代客),4619,-1315
20260204,IF2602,3,东证期货(代客),4518,-262,光大期货(代客),3974,-513,海通期货(代客),2790,-844
20260204,IF2602,4,海通期货(代客),3476,-790,广发期货(代客),1771,-217,瑞银期货(代客),2450,-9
20260204,IF2602,5,国信期货(代客),1631,-152,东证期货(代客),1612,27,中金期货(代客),1595,-293
20260204,IF2602,6,华闻期货(代客),1501,-579,华泰期货(代客),1292,17,东证期货(代客),1535,-15
20260204,IF2602,7,广发期货(代客),1245,-1255,中信建投(代客),1187,6,申银万国(代客),1346,167
20260204,IF2602,8,光大期货(代客),1179,-253,银河期货(代客),1026,-83,中银期货(代客),1136,-10
20260204,IF2602,9,浙商期货(代客),1139,97,申银万国(代客),725,-84,银河期货(代客),1033,-84
20260204,IF2602,10,中泰期货(代客),977,-295,海通期货(代客),722,-668,广发期货(代客),877,-152
20260204,IF2602,11,银河期货(代客),871,-686,国信期货(代客),625,-12,国信期货(代客),668,-29
20260204,IF2602,12,华泰期货(代客),757,-205,华闻期货(代客),504,-198,光大期货(代客),593,-60
20260204,IF2602,13,兴证期货(代客),590,-119,国富期货(代客),431,-31,华闻期货(代客),544,-137
20260204,IF2602,14,招商期货(代客),548,-49,永安期货(代客),425,-109,中信建投(代客),536,38
20260204,IF2602,15,申银万国(代客),523,34,中泰期货(代客),360,13,国富期货(代客),511,-44
20260204,IF2602,16,中信建投(代客),462,-54,兴证期货(代客),348,-111,华泰期货(代客),488,-150
20260204,IF2602,17,上海东亚(代客),447,216,国投期货(代客),313,-25,永安期货(代客),413,-13
