date,sh_margin_y,sz_margin_y,total_margin_y,sh_change_y,sh_change_pct,sz_change_y,sz_change_pct,total_change_y,total_change_pct,source,sample_status
2011-08-03,199.47338610,126.67762532,326.15101142,,,,,,,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-04,199.16978654,125.42989893,324.59968547,-0.30359956,-0.15220053,-1.24772639,-0.98496194,-1.55132595,-0.47564652,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-05,199.03220315,125.84973661,324.88193976,-0.13758339,-0.06907844,0.41983768,0.33471898,0.28225429,0.08695458,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-08,199.65951464,125.06083382,324.72034846,0.62731149,0.31518090,-0.78890279,-0.62686090,-0.16159130,-0.04973847,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-09,199.58893276,125.54353509,325.13246785,-0.07058188,-0.03535112,0.48270127,0.38597317,0.41211939,0.12691517,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-10,198.91797252,126.09118948,325.00916200,-0.67096024,-0.33617106,0.54765439,0.43622668,-0.12330585,-0.03792480,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-11,198.53845619,126.46698642,325.00544261,-0.37951633,-0.19079037,0.37579694,0.29803584,-0.00371939,-0.00114440,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-12,197.80555772,126.63181393,324.43737165,-0.73289847,-0.36914686,0.16482751,0.13033244,-0.56807096,-0.17478814,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-15,199.00155759,127.06286309,326.06442068,1.19599987,0.60463411,0.43104916,0.34039563,1.62704903,0.50149865,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-16,199.38522613,128.00235731,327.38758344,0.38366854,0.19279675,0.93949422,0.73939324,1.32316276,0.40579796,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-17,200.20240955,128.67051367,328.87292322,0.81718342,0.40985154,0.66815636,0.52198754,1.48533978,0.45369460,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-18,201.25765773,128.43274512,329.69040285,1.05524818,0.52709065,-0.23776855,-0.18478868,0.81747963,0.24857006,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-19,200.74117205,128.13663645,328.87780850,-0.51648568,-0.25662908,-0.29610867,-0.23055543,-0.81259435,-0.24647195,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-22,201.04631668,129.17933466,330.22565134,0.30514463,0.15200899,1.04269821,0.81373933,1.34784284,0.40983089,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-23,201.61763673,130.08603198,331.70366871,0.57132005,0.28417335,0.90669732,0.70189038,1.47801737,0.44757800,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-24,201.48223867,129.92198798,331.40422665,-0.13539806,-0.06715586,-0.16404400,-0.12610424,-0.29944206,-0.09027397,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-25,199.09811437,129.66151646,328.75963083,-2.38412430,-1.18329254,-0.26047152,-0.20048302,-2.64459582,-0.79799701,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-26,201.09341830,129.98328619,331.07670449,1.99530393,1.00217118,0.32176973,0.24816132,2.31707366,0.70479263,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-29,204.96342307,131.15362772,336.11705079,3.87000477,1.92448107,1.17034153,0.90037848,5.04034630,1.52241044,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-30,207.49898186,131.65406587,339.15304773,2.53555879,1.23707867,0.50043815,0.38156638,3.03599694,0.90325585,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-08-31,208.93312611,131.51701562,340.45014173,1.43414425,0.69115725,-0.13705025,-0.10409876,1.29709400,0.38245093,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-09-01,208.98889032,130.85935843,339.84824875,0.05576421,0.02668998,-0.65765719,-0.50005483,-0.60189298,-0.17679328,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-09-02,209.01163881,131.43378511,340.44542392,0.02274849,0.01088502,0.57442668,0.43896492,0.59717517,0.17571818,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-09-05,210.03486998,131.63818271,341.67305269,1.02323117,0.48955703,0.20439760,0.15551374,1.22762877,0.36059488,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-09-06,210.68944086,131.93017429,342.61961515,0.65457088,0.31164867,0.29199158,0.22181374,0.94656246,0.27703749,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-09-07,210.42304936,132.43431882,342.85736818,-0.26639150,-0.12643799,0.50414453,0.38212981,0.23775303,0.06939271,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-09-08,211.14896834,132.59290654,343.74187488,0.72591898,0.34498073,0.15858772,0.11974821,0.88450670,0.25798095,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-09-09,210.41870266,131.65696545,342.07566811,-0.73026568,-0.34585330,-0.93594109,-0.70587569,-1.66620677,-0.48472615,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-09-13,211.22136936,131.86217981,343.08354917,0.80266670,0.38146167,0.20521436,0.15587049,1.00788106,0.29463688,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-09-14,210.50929175,132.16435369,342.67364544,-0.71207761,-0.33712385,0.30217388,0.22915887,-0.40990373,-0.11947636,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-09-15,209.96390466,131.16137508,341.12527974,-0.54538709,-0.25907982,-1.00297861,-0.75888739,-1.54836570,-0.45184849,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
2011-09-16,210.20934154,130.75681234,340.96615388,0.24543688,0.11689480,-0.40456274,-0.30844655,-0.15912586,-0.04664734,DFCF/东方财富Choice数据,dfcf_vendor_only_unverified_by_exchange
