date,total_margin_y,a_share_total_market_cap_yi,chinext_close,sh_sz_margin_to_all_a_market_cap_pct,chinext_normalized,date_alignment_status,market_cap_vendor_status,reporting_eligible
2014-01-02,3448.08840120,271910.98000000,1333,1.26809458,100.00000000,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-03,3445.76607537,272130.80000000,1352.84,1.26621686,101.48837209,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-06,3451.69192680,269670.08000000,1323.33,1.27996844,99.27456864,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-07,3456.37757465,264487.41000000,1352.28,1.30682121,101.44636159,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-08,3467.33678652,264929.85000000,1405.02,1.30877543,105.40285071,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-09,3480.53637370,265529.30000000,1380.24,1.31079183,103.54388597,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-10,3480.21229136,262883.66000000,1353.3,1.32386025,101.52288072,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-13,3477.67316461,260413.01000000,1362.79,1.33544525,102.23480870,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-14,3478.42896803,260134.48000000,1400.92,1.33716567,105.09527382,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-15,3485.81689502,263167.93000000,1415.32,1.32455991,106.17554389,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-16,3490.73742784,263452.36000000,1395.16,1.32499759,104.66316579,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-17,3497.46815349,263319.64000000,1395.51,1.32822153,104.68942236,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-20,3505.79819077,261179.57000000,1372.74,1.34229419,102.98124531,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-21,3509.14700562,259185.42000000,1407.15,1.35391374,105.56264066,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-22,3518.26066078,262194.15000000,1431.74,1.34185323,107.40735184,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-23,3530.86577943,267898.65000000,1461.53,1.31798566,109.64216054,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-24,3529.88376906,267942.03000000,1484.43,1.31740577,111.36009002,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-27,3543.45840025,270188.48000000,1477.67,1.31147649,110.85296324,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-28,3538.82567895,268064.34000000,1471.34,1.32014041,110.37809452,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-29,3520.71514873,269132.92000000,1496.53,1.30816964,112.26781695,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-01-30,3471.83997942,271043.62000000,1495.98,1.28091559,112.22655664,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-07,3517.92010282,268877.37000000,1532.69,1.30837344,114.98049512,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-10,3575.77636554,271164.53000000,1553.42,1.31867408,116.53563391,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-11,3632.03087537,277212.89000000,1527.15,1.31019552,114.56489122,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-12,3675.77348237,279484.17000000,1539.97,1.31519917,115.52663166,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-13,3712.57642670,281063.15000000,1485.13,1.32090472,111.41260315,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-14,3714.92516511,278668.56000000,1515.78,1.33309806,113.71192798,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-17,3752.44073414,281641.22000000,1558.62,1.33234785,116.92573143,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-18,3793.87781660,285170.58000000,1545.34,1.33038893,115.92948237,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-19,3822.36134046,283258.41000000,1544.4,1.34942554,115.85896474,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-20,3841.63705416,285771.23000000,1515.16,1.34430504,113.66541635,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-21,3839.13192904,283939.57000000,1519.67,1.35209472,114.00375094,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-24,3851.63184549,281428.97000000,1540.03,1.36859821,115.53113278,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-25,3842.24090197,278153.49000000,1472.69,1.38133838,110.47936984,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-26,3850.01979766,270974.00000000,1465.99,1.42080783,109.97674419,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-27,3845.12324535,272052.75000000,1414.66,1.41337415,106.12603151,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-28,3836.86330345,271128.22000000,1434.89,1.41514716,107.64366092,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-03,3852.74868667,273060.42000000,1465.14,1.41095099,109.91297824,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-04,3863.17102229,276089.45000000,1460.45,1.39924616,109.56114029,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-05,3877.57092604,275493.53000000,1464.58,1.40749982,109.87096774,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-06,3884.52329957,273648.95000000,1462.53,1.41952794,109.71717929,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-07,3869.83703633,274450.44000000,1460.61,1.41003127,109.57314329,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-10,3857.02986559,274011.90000000,1407.07,1.40761400,105.55663916,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-11,3847.91640078,265853.25000000,1395.81,1.44738362,104.71192798,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-12,3838.75654346,266017.76000000,1399.27,1.44304521,104.97149287,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-13,3844.55824158,265638.38000000,1436.86,1.44729020,107.79144786,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-14,3835.94757382,269176.77000000,1434.02,1.42506635,107.57839460,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-17,3844.97055798,267530.59000000,1477.42,1.43720782,110.83420855,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-18,3862.22759785,271020.81000000,1485.64,1.42506680,111.45086272,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-19,3883.29387785,271534.34000000,1466.22,1.43012993,109.99399850,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-20,3884.97065902,270739.55000000,1417.66,1.43494759,106.35108777,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-21,3888.85173146,266072.61000000,1419.84,1.46157537,106.51462866,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-24,3906.93503566,272490.06000000,1397.29,1.43378993,104.82295574,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-25,3924.26730844,274171.84000000,1394.82,1.43131669,104.63765941,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-26,3938.77918952,274011.46000000,1417.61,1.43745053,106.34733683,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-27,3946.88264973,274322.37000000,1367.96,1.43877535,102.62265566,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-28,3931.05177567,271266.29000000,1330.5,1.44914865,99.81245311,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-31,3926.25476065,269331.27000000,1327.8,1.45777902,99.60990248,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-04-01,3918.45922478,268362.67000000,1355.05,1.46013573,101.65416354,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-04-02,3914.12551215,271030.97000000,1327.98,1.44416172,99.62340585,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-04-03,3927.05920852,271879.61000000,1326.18,1.44441108,99.48837209,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-04-04,3912.65820886,270483.08000000,1346.74,1.44654453,101.03075769,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-04-08,3921.65770056,272858.62000000,1351.18,1.43724897,101.36384096,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-04-09,3937.97472158,277706.64000000,1370.46,1.41803405,102.81020255,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-04-10,3971.01746687,279090.77000000,1381.14,1.42284084,103.61140285,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
