date,total_margin_y,a_share_total_market_cap_yi,chinext_close,sh_sz_margin_to_all_a_market_cap_pct,chinext_normalized,date_alignment_status,market_cap_vendor_status,reporting_eligible
2014-01-30,3471.83997942,271043.62000000,1495.98,1.28091559,112.22655664,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-02-28,3836.86330345,271128.22000000,1434.89,1.41514716,107.64366092,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-03-31,3926.25476065,269331.27000000,1327.8,1.45777902,99.60990248,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-04-30,3937.87481347,266684.01000000,1283.21,1.47660702,96.26481620,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-05-30,3914.52445083,271597.43000000,1318.13,1.44129657,98.88447112,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-06-30,4034.10904442,274414.86000000,1404.71,1.47007675,105.37959490,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-07-31,4400.26555887,293234.52000000,1344.54,1.50059603,100.86571643,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-08-29,5200.94215479,299044.53000000,1424.47,1.73918652,106.86196549,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-09-30,6074.10666700,326394.03000000,1540.87,1.86097358,115.59414854,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-10-31,6975.90568747,332657.79000000,1513.27,2.09702159,113.52363091,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-11-28,8189.26666261,361746.70000000,1570.85,2.26381240,117.84321080,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2014-12-31,10173.72873368,418573.66000000,1471.76,2.43057070,110.40960240,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2015-01-30,11259.33019889,442453.16000000,1680.58,2.54475077,126.07501875,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2015-02-27,11523.76881592,455947.24000000,1928.04,2.52743471,144.63915979,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2015-03-31,14858.80151784,535395.20000000,2335.17,2.77529599,175.18154539,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
2015-04-30,18310.16561927,630746.91000000,2857.89,2.90293386,214.39534884,exact_date_with_local_tdx_chinext_calendar,date_validated_by_local_tdx_only,False
