trade_date,secu_code,stock_code,security_name,trade_market,financing_balance_yuan,financing_buy_yuan,financing_repay_yuan,financing_net_buy_yuan,securities_lending_balance_yuan,margin_balance_yuan
2026-07-22,000001.SZ,000001,平安银行,深交所主板,4906065922,63580422,94684005,-31103583,19407150,4925473072
2026-07-22,000002.SZ,000002,万  科Ａ,深交所主板,2315558499,45075263,45833592,-758329,5758588,2321317087
2026-07-22,000006.SZ,000006,深振业Ａ,深交所主板,714526635,9707209,12819339,-3112130,758352,715284987
2026-07-22,000008.SZ,000008,神州高铁,深交所主板,236200956,4650058,5749803,-1099745,336528,236537484
2026-07-22,000009.SZ,000009,中国宝安,深交所主板,1846380928,8240246,10079047,-1838801,2456287,1848837215
2026-07-22,000012.SZ,000012,南  玻Ａ,深交所主板,629351371,11895852,115222474,-103326622,2736274,632087645
2026-07-22,000021.SZ,000021,深科技,深交所主板,2931836924,673185956,674553979,-1368023,27508670,2959345594
2026-07-22,000025.SZ,000025,特  力Ａ,深交所主板,239502549,5045526,5350154,-304628,803396,240305945
2026-07-22,000027.SZ,000027,深圳能源,深交所主板,546243737,17000856,22529396,-5528540,1156939,547400676
2026-07-22,000028.SZ,000028,国药一致,深交所主板,232568610,4861421,6380018,-1518597,2522601,235091211
2026-07-22,000029.SZ,000029,深深房Ａ,深交所主板,544657195,11206597,16706010,-5499413,2440085,547097280
2026-07-22,000030.SZ,000030,富奥股份,深交所主板,142924590,4306571,4259427,47144,2136835,145061425
2026-07-22,000031.SZ,000031,大悦城,深交所主板,276296819,6735320,6597532,137788,421367,276718186
2026-07-22,000032.SZ,000032,深桑达Ａ,深交所主板,897956419,37426714,47650250,-10223536,4720560,902676979
2026-07-22,000034.SZ,000034,神州数码,深交所主板,1739977773,313065081,335012605,-21947524,16113790,1756091563
2026-07-22,000035.SZ,000035,中国天楹,深交所主板,593972190,7712280,8990503,-1278223,870537,594842727
2026-07-22,000036.SZ,000036,华联控股,深交所主板,374682778,15239573,18156771,-2917198,423940,375106718
2026-07-22,000039.SZ,000039,中集集团,深交所主板,251963429,12821198,25475217,-12654019,3574996,255538425
2026-07-22,000042.SZ,000042,中洲控股,深交所主板,150630147,4714001,5503860,-789859,0,150630147
2026-07-22,000048.SZ,000048,京基智农,深交所主板,248324469,28131337,36238525,-8107188,1150915,249475384
2026-07-22,000049.SZ,000049,德赛电池,深交所主板,258770372,16394162,18469424,-2075262,2344524,261114896
2026-07-22,000050.SZ,000050,深天马Ａ,深交所主板,538013166,15193405,20458197,-5264792,2978315,540991481
2026-07-22,000055.SZ,000055,方大集团,深交所主板,105134094,3388352,2785612,602740,208329,105342423
