block,code,name,close,pct_today,trend,score,score_old,score_delta,rank_new,rank_old,rank_delta,ma_status,macd,macd_old,kdj,rsi,vol_ratio,support,resistance,data_ok,n_bars,one_liner
1,SH688621,阳光诺和,74.99,+2.28%,上涨↑破压,91,94,-3,1,1,0,多头排列,多头(零上) DIF2.622/DEA2.437,多头,K84.5/D77.5/J98.4,72.4,量比1.43,73.47,无(新高),OK,131,放量上涨(健康)，MACD多头零上，RSI72，J98，20日新高，突破压力
1,SH603259,药明康德,167.96,+4.98%,上涨↑破压,87,87,+0,2,2,0,多头排列,金叉(零上) DIF3.301/DEA3.110,空头,K79.9/D69.5/J100.9,69.9,量比1.45,160.57,173.09,OK,131,放量上涨(健康)，MACD金叉零上，RSI70，J101，20日新高，突破压力
2,SZ002886,沃特股份,26.95,+2.08%,上涨,84,84,+0,3,3,0,多头排列,空头(零上) DIF1.175/DEA1.299,空头,K63.1/D53.9/J81.5,46.7,量比0.93,26.65,30.84,OK,131,量价平稳，MACD空头零上，RSI47，J81
1,SH688796,百奥赛图,138.00,+2.78%,上涨↑破压,81,66,+15,4,54,50,多头排列,多头(零上) DIF1.436/DEA0.096,多头,K74.5/D60.0/J103.5,65.4,量比1.32,129.17,154.99,OK,131,放量上涨(健康)，MACD多头零上，RSI65，J104，20日新高，突破压力
2,SH600522,中天科技,36.95,+2.70%,上涨↑破压,79,76,+3,5,8,3,多头排列,多头(零上) DIF0.366/DEA-0.117,多头,K85.5/D76.9/J102.6,62.7,量比0.93,35.81,62.00,OK,131,量价平稳，MACD多头零上，RSI63，J103，20日新高，突破压力
2,SH601208,东材科技,52.75,+2.83%,上涨,78,81,-3,6,5,-1,多头排列,多头(零上) DIF1.386/DEA0.882,多头,K69.6/D65.3/J78.2,60.9,量比0.97,52.01,55.50,OK,131,量价平稳，MACD多头零上，RSI61，J78
1,SZ301230,泓博医药,38.82,+10.25%,上涨↑破压,77,66,+12,7,56,49,多头排列,多头(零上) DIF0.565/DEA-0.112,多头,K72.5/D56.8/J103.9,72.3,量比2.28,33.19,41.76,OK,131,放量上涨(健康)，MACD多头零上，RSI72，J104，20日新高，突破压力
2,SH688048,长光华芯,362.23,+5.92%,上涨↑破压,77,83,-6,8,4,-4,多头排列,多头(零上) DIF9.150/DEA1.384,多头,K82.1/D71.8/J102.5,76.3,量比1.49,333.49,509.11,OK,131,放量上涨(健康)，MACD多头零上，RSI76，J103，20日新高，突破压力
1,SH688222,成都先导,45.48,+13.79%,上涨↑破压,76,76,+0,9,7,-2,多头排列,多头(零上) DIF1.570/DEA0.358,多头,K83.9/D70.4/J111.1,83.0,量比1.86,38.37,无(新高),OK,131,放量上涨(健康)，MACD多头零上，RSI83，J111，20日新高，突破压力
2,SH688205,德科立,243.12,+10.58%,上涨↑破压,76,75,+1,10,10,0,多头排列,多头(零上) DIF17.848/DEA15.713,多头,K71.8/D68.4/J78.7,77.4,量比1.46,220.77,无(新高),OK,131,放量上涨(健康)，MACD多头零上，RSI77，J79，20日新高，突破压力
1,SH688710,益诺思,95.60,+0.72%,上涨,75,72,+3,11,17,6,多头排列,多头(零上) DIF1.821/DEA0.782,多头,K87.6/D78.2/J106.4,72.3,量比1.16,91.05,99.92,OK,131,放量上涨(健康)，MACD多头零上，RSI72，J106
2,SZ300857,协创数据,273.10,+1.94%,上涨,75,75,+0,12,9,-3,多头排列,多头(零上) DIF3.919/DEA3.027,多头,K66.1/D54.6/J89.2,59.3,量比0.99,263.54,275.99,OK,131,量价平稳，MACD多头零上，RSI59，J89
1,SZ300363,博腾股份,23.96,+5.13%,上涨↑破压,74,74,+0,13,11,-2,多头排列,多头(零上) DIF0.846/DEA0.589,多头,K84.9/D76.6/J101.5,77.9,量比1.12,22.42,24.48,OK,131,放量上涨(健康)，MACD多头零上，RSI78，J102，20日新高，突破压力
1,SH688161,威高骨科,21.85,+2.39%,震荡,74,74,+0,14,12,-2,均线纠缠,空头(零下) DIF-0.178/DEA-0.104,空头,K29.5/D26.2/J36.2,48.4,量比1.23,21.66,23.25,OK,131,放量上涨(健康)，MACD空头零下，RSI48，J36
1,SH688016,心脉医疗,86.08,+1.56%,震荡,74,74,+0,15,13,-2,均线纠缠,金叉(零下) DIF-1.843/DEA-1.893,空头,K47.9/D30.3/J83.0,36.9,量比1.44,84.69,92.80,OK,131,放量上涨(健康)，MACD金叉零下，RSI37，J83
2,SH600641,先导基电,39.76,+6.60%,上涨↑破压,74,74,+0,16,14,-2,多头排列,多头(零上) DIF1.025/DEA0.124,多头,K86.9/D71.4/J118.0,67.7,量比1.14,35.73,50.99,OK,131,放量上涨(健康)，MACD多头零上，RSI68，J118，20日新高，突破压力
2,SZ002080,中材科技,66.24,+10.00%,上涨↑破压,74,74,+0,17,15,-2,多头排列,多头(零上) DIF1.525/DEA-0.224,多头,K84.4/D75.4/J102.5,83.6,量比1.69,58.96,99.58,OK,131,放量上涨(健康)，MACD多头零上，RSI84，J103，20日新高，突破压力
2,SH601138,工业富联,63.60,+1.42%,震荡,73,73,+0,18,16,-2,均线纠缠,空头(零下) DIF-0.254/DEA-0.156,空头,K37.2/D33.4/J44.7,51.8,量比1.25,63.10,66.88,OK,131,放量上涨(健康)，MACD空头零下，RSI52，J45
1,SH688617,惠泰医疗,243.49,+1.45%,震荡,71,71,+0,19,19,0,短期多头,空头(零上) DIF3.262/DEA4.818,空头,K49.0/D46.3/J54.4,43.5,量比1.52,242.52,265.27,OK,131,放量上涨(健康)，MACD空头零上，RSI44，J54
1,SH688578,艾力斯,102.09,+1.67%,震荡,71,71,+0,20,20,0,均线纠缠,空头(零下) DIF-3.785/DEA-3.311,空头,K25.2/D17.0/J41.5,38.0,量比1.43,101.42,118.26,OK,131,放量上涨(健康)，MACD空头零下，RSI38，J42
1,SH688271,联影医疗,102.58,+1.56%,震荡,71,71,+0,21,21,0,均线纠缠,空头(零下) DIF-1.891/DEA-1.735,空头,K18.7/D16.0/J24.0,41.6,量比1.31,101.48,109.66,OK,131,放量上涨(健康)，MACD空头零下，RSI42，J24
1,SH601101,昊华能源,13.50,+4.49%,震荡,71,71,+0,22,23,1,均线纠缠,空头(零上) DIF0.081/DEA0.218,空头,K25.6/D18.8/J39.3,36.7,量比1.39,13.31,15.32,OK,131,放量上涨(健康)，MACD空头零上，RSI37，J39
1,SH600546,山煤国际,13.61,+1.64%,震荡,71,71,+0,23,24,1,均线纠缠,空头(零上) DIF0.079/DEA0.111,空头,K48.0/D39.2/J65.6,47.5,量比1.16,13.46,14.54,OK,131,放量上涨(健康)，MACD空头零上，RSI48，J66
1,SH601225,陕西煤业,25.70,+1.98%,震荡,71,71,+0,24,25,1,均线纠缠,空头(零上) DIF0.021/DEA0.181,空头,K28.8/D28.6/J29.2,37.2,量比1.14,25.57,27.80,OK,131,放量上涨(健康)，MACD空头零上，RSI37，J29
1,SH601898,中煤能源,14.27,+2.96%,震荡,71,71,+0,25,26,1,均线纠缠,空头(零下) DIF-0.026/DEA0.123,空头,K17.7/D16.6/J20.0,34.7,量比1.20,14.14,16.29,OK,131,放量上涨(健康)，MACD空头零下，RSI35，J20
1,SZ000739,普洛药业,24.82,+5.71%,上涨↑破压,71,71,+0,26,28,2,多头排列,多头(零上) DIF0.639/DEA0.450,多头,K82.3/D74.2/J98.5,76.2,量比1.57,23.27,24.85,OK,131,放量上涨(健康)，MACD多头零上，RSI76，J98，20日新高，突破压力
