block,code,name,price_morning,pct_today,trend,delta_vs_friday,score,macd,kdj,rsi,vol_note,support,resistance,one_liner
1,SH688293,奥浦迈,74.03,+4.71%,上涨,走强,90,多头(零上) DIF3.85/DEA2.705,K82.4/D75.5/J96.1,67.7,显著放量(折算全天r=2.19),67.83,75.50,放量上涨(健康)，MACD多头零上，RSI68，J96
1,SH688710,益诺思,94.83,-0.09%,上涨,持平,63,金叉(零上) DIF2.094/DEA1.244,K85.7/D75.1/J106.9,61.0,温和放量(折算全天r=1.44),89.39,99.92,放量滞涨(警示)，MACD金叉零上，RSI61，J107
1,SH688758,赛分科技,32.51,-0.88%,上涨,走弱,76,多头(零上) DIF1.382/DEA0.913,K86.6/D78.6/J102.6,67.2,显著放量(折算全天r=2.28),30.12,33.33,放量下跌(警示)，MACD多头零上，RSI67，J103
1,SH688046,药康生物,36.66,+3.91%,上涨(新高),走强,80,金叉(零上) DIF0.969/DEA0.703,K80.5/D68.2/J105.1,63.3,温和放量(折算全天r=1.44),33.81,36.79,放量上涨(健康)，MACD金叉零上，RSI63，J105，20日新高
1,SH688202,美迪西,110.00,+3.58%,上涨↑破压,走强,83,金叉(零上) DIF3.48/DEA2.547,K82.6/D71.4/J105.1,65.1,显著放量(折算全天r=1.51),108.58,114.40,放量上涨(健康)，MACD金叉零上，RSI65，J105，突破压力
1,SZ000739,普洛药业,24.41,+3.96%,上涨↑破压,走强,90,多头(零上) DIF0.679/DEA0.526,K83.2/D79.5/J90.5,69.3,显著放量(折算全天r=1.58),23.98,25.39,放量上涨(健康)，MACD多头零上，RSI69，J90，突破压力
1,SH688690,纳微科技,47.21,+0.02%,上涨(新高),走强,76,多头(零上) DIF1.677/DEA0.773,K89.8/D82.8/J103.9,66.5,显著放量(折算全天r=1.61),44.09,47.87,放量滞涨(警示)，MACD多头零上，RSI66，J104，20日新高
1,SZ300347,泰格医药,58.97,+2.75%,上涨(新高),走强,89,多头(零上) DIF1.771/DEA1.155,K86.7/D80.9/J98.2,64.7,温和放量(折算全天r=1.38),56.68,59.39,放量上涨(健康)，MACD多头零上，RSI65，J98，20日新高
1,SZ002821,凯莱英,190.00,+2.59%,上涨(新高),走强,90,多头(零上) DIF5.539/DEA3.573,K81.4/D76.9/J90.3,62.9,显著放量(折算全天r=1.55),181.74,193.90,放量上涨(健康)，MACD多头零上，RSI63，J90，20日新高
1,SZ301047,义翘神州,118.92,+5.17%,上涨,走强,81,金叉(零上) DIF3.576/DEA2.361,K77.5/D63.6/J105.3,63.6,显著放量(折算全天r=2.31),105.68,130.00,放量上涨(健康)，MACD金叉零上，RSI64，J105
1,SH688621,阳光诺和,73.66,+0.46%,上涨(新高),走弱,78,多头(零上) DIF2.785/DEA2.718,K81.4/D78.4/J87.2,66.0,缩量(折算全天r=0.83),72.59,74.50,量价平稳，MACD多头零上，RSI66，J87，20日新高
1,SH688222,成都先导,45.75,+14.46%,上涨↑破压,走强,85,多头(零上) DIF1.659/DEA0.47,K84.9/D70.9/J112.8,75.7,显著放量(折算全天r=3.86),41.64,47.58,放量上涨(健康)，MACD多头零上，RSI76，J113，突破压力
1,SH603259,药明康德,166.78,+4.24%,上涨(新高),走强,82,空头(零上) DIF3.891/DEA3.999,K78.0/D68.0/J98.0,65.0,显著放量(折算全天r=1.84),158.75,165.88,放量上涨(健康)，MACD空头零上，RSI65，J98，20日新高
1,SH688073,毕得医药,71.40,+4.75%,上涨,走强,81,金叉(零上) DIF1.183/DEA0.437,K78.0/D63.9/J106.2,62.2,显著放量(折算全天r=2.11),63.59,75.29,放量上涨(健康)，MACD金叉零上，RSI62，J106
1,SH603127,昭衍新药,46.59,+1.81%,上涨,走强,68,金叉(零下) DIF-0.502/DEA-0.663,K67.3/D51.6/J98.8,54.7,显著放量(折算全天r=1.99),44.98,51.51,放量上涨(健康)，MACD金叉零下，RSI55，J99
1,SZ300725,药石科技,50.14,+6.18%,上涨,走强,70,金叉(零上) DIF0.645/DEA0.301,K80.2/D66.8/J107.1,63.1,显著放量(折算全天r=2.23),45.55,53.48,放量上涨(健康)，MACD金叉零上，RSI63，J107
1,SZ300363,博腾股份,23.68,+3.91%,上涨(新高),走强,86,多头(零上) DIF0.894/DEA0.647,K84.7/D76.8/J100.6,67.5,温和放量(折算全天r=1.19),21.92,23.62,放量上涨(健康)，MACD多头零上，RSI68，J101，20日新高
1,SZ301080,百普赛斯,118.10,+7.87%,上涨(新高),走强,87,金叉(零上) DIF8.392/DEA6.273,K80.9/D73.0/J96.8,72.1,显著放量(折算全天r=2.33),96.52,119.14,放量上涨(健康)，MACD金叉零上，RSI72，J97，20日新高
1,SZ301230,泓博医药,38.35,+8.92%,上涨(新高),走强,72,金叉(零上) DIF0.619/DEA0.013,K71.1/D55.4/J102.5,67.3,显著放量(折算全天r=4.44),31.38,38.15,放量上涨(健康)，MACD金叉零上，RSI67，J102，20日新高
1,SH688131,皓元医药,101.51,+2.85%,上涨(新高),走强,79,金叉(零上) DIF1.823/DEA1.292,K75.4/D59.7/J106.9,63.3,显著放量(折算全天r=1.54),93.30,102.30,放量上涨(健康)，MACD金叉零上，RSI63，J107，20日新高
1,SH688617,惠泰医疗,245.15,+2.15%,震荡,走强,63,空头(零上) DIF3.812/DEA5.443,K51.2/D46.8/J60.1,54.9,显著放量(折算全天r=1.56),233.08,268.80,放量上涨(健康)，MACD空头零上，RSI55，J60
1,SH688161,威高骨科,21.79,+2.11%,震荡,走强,49,空头(零下) DIF-0.182/DEA-0.11,K28.7/D25.7/J34.8,50.0,温和放量(折算全天r=1.3),21.13,23.25,放量上涨(健康)，MACD空头零下，RSI50，J35
