block,mkt,code,name,last_date,close,pct_chg,chg5,chg10,chg20,trend,ma5,ma10,ma20,ma60,vs_ma20,vs_ma60,ma20_slope,dif,dea,macd_bar,macd_cross5,dif_above0,rsi6,rsi14,kdj_k,kdj_d,kdj_j,boll_pos,vol_ratio,vol5_vs20,turnover,hi20,lo20,hi60,lo60,from_hi60,range_pos60,limitups_20,pv_diverge,stale,ex_gaps_recent,error
光通信,SZ,000063,中兴通讯,20260922,32.91,-0.72,2.8,-0.9,-1.5,震荡,32.55,32.44,33.02,34.79,-0.3,-5.4,-0.8,-0.517,-0.607,0.181,金叉(2日前),False,55.6,46.7,45.1,31.0,73.4,46.0,1.11,1.05,1.68,34.89,31.8,43.0,31.8,-23.5,10.0,0,False,False,20150717:-15.3%;20110707:-17.5%;20100624:-34.3%,
光通信,SZ,000070,特发信息,20260922,18.63,-1.84,11.5,12.9,15.9,强多头,18.1,17.4,16.68,15.59,11.7,19.5,5.0,0.783,0.545,0.474,,True,70.5,64.8,77.5,74.8,82.9,100.0,1.51,1.38,15.63,19.66,15.26,21.0,11.57,-11.3,75.0,0,False,False,20190516:-16.9%;20170607:-50.0%;20060110:-16.7%,
光通信,SZ,000586,汇源通信,20260922,13.88,-2.05,2.7,0.5,7.3,震荡,13.97,14.06,13.89,12.5,-0.1,11.0,2.6,0.327,0.394,-0.134,,True,49.3,53.5,34.3,36.7,29.5,49.0,0.6,0.85,3.71,15.19,12.67,15.19,9.3,-8.6,78.0,1,False,False,20051229:-21.0%;19980618:-23.4%;19960830:11.8%,
光通信,SZ,000720,新能泰山,20260922,3.92,-3.69,3.4,2.6,5.7,震荡,4.04,3.96,3.91,3.64,0.3,7.7,2.4,0.071,0.066,0.01,金叉(5日前),True,46.9,51.7,61.0,61.4,60.1,53.0,1.33,1.6,4.58,4.17,3.68,4.17,3.0,-6.0,79.0,1,False,False,20060607:-13.9%;20040611:-44.8%;20021016:-33.8%,
光通信,SZ,000725,京东方Ａ,20260922,6.0,-1.15,13.9,7.9,4.5,震荡,5.84,5.61,5.7,6.16,5.3,-2.6,-0.2,-0.032,-0.106,0.147,金叉(4日前),False,70.7,56.6,74.4,57.6,107.8,81.0,1.32,1.55,4.2,6.18,5.21,9.5,5.21,-36.8,18.0,0,False,False,20110620:-16.7%;20090610:14.9%;20051130:-27.4%,
光通信,SZ,000801,四川九洲,20260922,12.11,-0.33,1.9,-4.3,6.3,震荡,12.13,12.19,12.26,11.69,-1.2,3.6,2.1,0.116,0.174,-0.116,,True,44.1,51.8,34.5,32.6,38.4,39.0,0.65,0.67,0.89,13.2,11.29,13.6,10.64,-11.0,50.0,0,False,False,20160614:-50.5%;20110418:-49.8%;20060802:-37.9%,
光通信,SZ,000881,中广核技,20260922,6.67,1.06,3.6,-2.3,3.7,多头,6.51,6.57,6.62,6.46,0.7,3.3,0.3,0.002,0.015,-0.026,,True,63.5,55.4,46.2,36.0,66.5,60.0,1.16,1.06,0.92,6.84,6.33,6.85,6.0,-2.6,79.0,0,False,False,20051227:-13.9%;20010515:-36.5%;20000720:-44.4%,
光通信,SZ,000890,法尔胜,20260922,7.83,-1.51,5.2,-14.5,8.0,震荡,7.74,7.97,8.36,7.54,-6.3,3.8,1.8,-0.013,0.103,-0.233,,False,44.0,47.6,24.3,23.8,25.5,27.0,0.35,0.51,4.89,9.64,7.25,9.64,5.56,-18.8,56.0,3,False,False,20060719:-24.1%;20060403:-16.2%;20010622:-21.7%,
光通信,SZ,000936,华西股份,20260922,5.56,-1.77,3.9,-3.3,-1.2,震荡,5.52,5.51,5.59,5.39,-0.5,3.1,-0.0,-0.015,-0.006,-0.019,,False,51.6,50.0,42.3,35.1,56.6,43.0,0.97,0.94,2.36,5.85,5.31,6.97,4.68,-20.2,38.0,0,False,False,20101011:-38.9%;20051108:-34.2%;20040616:-44.8%,
光通信,SZ,000988,华工科技,20260922,107.09,-2.21,6.9,6.5,1.7,震荡,107.23,105.48,103.45,114.37,3.5,-6.4,0.7,-0.481,-1.786,2.61,,False,56.8,51.6,70.7,64.7,82.8,75.0,1.07,1.09,5.17,111.44,94.61,187.66,90.23,-42.9,17.0,0,False,False,20120713:-50.6%;20090929:-19.7%;20051122:-29.1%,
光通信,SZ,001208,华菱线缆,20260922,13.96,-3.26,0.6,-3.3,3.4,震荡,14.03,14.12,14.16,14.18,-1.4,-1.6,0.6,-0.075,-0.066,-0.017,,False,44.9,46.9,39.2,36.1,45.5,34.0,1.77,1.02,6.71,15.15,13.51,16.07,11.55,-13.1,53.0,0,False,False,,
光通信,SZ,001229,魅视科技,20260922,39.89,0.86,10.3,-0.5,-5.9,震荡,38.47,38.32,38.51,39.51,3.6,1.0,-4.0,-0.374,-0.496,0.244,金叉(1日前),False,61.9,52.6,59.5,46.7,85.2,70.0,1.2,1.13,7.38,42.72,35.04,50.19,30.67,-20.5,47.0,2,False,False,20260609:-29.0%,
光通信,SZ,001267,汇绿生态,20260922,38.19,-2.58,9.1,1.8,0.1,震荡,37.75,36.77,37.33,37.82,2.3,1.0,0.0,-0.208,-0.485,0.556,金叉(3日前),False,58.3,52.0,69.7,56.8,95.7,65.0,1.03,1.06,4.99,42.4,33.78,53.85,27.11,-29.1,41.0,1,False,False,,
光通信,SZ,001309,德明利,20260922,411.57,-0.83,6.6,-1.3,3.7,多头,407.52,404.21,408.81,487.37,0.7,-15.6,0.4,-8.957,-13.446,8.98,,False,55.9,48.3,56.7,44.9,80.1,55.0,1.02,0.95,7.23,448.25,381.0,976.0,334.0,-57.8,12.0,1,False,False,20250710:-28.7%;20240426:-22.8%;20230713:-28.3%,
光通信,SZ,002008,大族激光,20260922,94.26,-2.37,0.7,-1.5,10.8,震荡,96.15,94.91,93.35,100.16,1.0,-5.9,2.1,-0.003,-0.765,1.523,,False,47.4,49.1,61.4,65.1,54.2,57.0,0.95,1.02,4.58,101.06,83.01,150.49,80.32,-37.4,20.0,1,False,False,20110615:-34.2%;20080425:-37.0%;20070514:-36.9%,
