mkt,code,name
SZ,000021,深科技
SZ,000062,深圳华强
SZ,000070,特发信息
SZ,000636,风华高科
SZ,000725,京东方Ａ
SZ,000733,振华科技
SZ,000818,航锦科技
SZ,000823,超声电子
SZ,000938,紫光股份
SZ,000988,华工科技
SZ,001267,汇绿生态
SZ,001309,德明利
SZ,001389,广合科技
SZ,002023,海特高新
SZ,002025,航天电器
SZ,002036,联创电子
SZ,002049,紫光国微
SZ,002055,ST得润
SZ,002138,顺络电子
SZ,002156,通富微电
SZ,002179,中航光电
SZ,002184,海得控制
SZ,002185,华天科技
SZ,002194,武汉凡谷
SZ,002222,福晶科技
SZ,002273,水晶光电
SZ,002281,光迅科技
SZ,002384,东山精密
SZ,002396,星网锐捷
SZ,002429,兆驰股份
SZ,002436,兴森科技
SZ,002456,欧菲光
SZ,002475,立讯精密
SZ,002515,金字火腿
SZ,002579,中京电子
SZ,002600,领益智造
SZ,002635,安洁科技
SZ,002741,光华科技
SZ,002787,华源控股
SZ,002792,通宇通讯
SZ,002796,世嘉科技
SZ,002815,崇达技术
SZ,002897,意华股份
SZ,002902,铭普光磁
SZ,002906,华阳集团
SZ,002938,鹏鼎控股
SZ,002957,科瑞技术
SZ,002967,广电计量
SZ,002980,华盛昌
SZ,002993,奥海科技
SZ,003028,振邦智能
SZ,003031,中瓷电子
SZ,300077,国民技术
SZ,300101,振芯科技
SZ,300102,乾照光电
SZ,300131,英唐智控
SZ,300252,金信诺
SZ,300285,国瓷材料
SZ,300287,飞利信
SZ,300303,聚飞光电
SZ,300308,中际旭创
SZ,300310,宜通世纪
SZ,300319,麦捷科技
SZ,300323,华灿光电
SZ,300351,永贵电器
SZ,300394,天孚通信
SZ,300408,三环集团
SZ,300447,全信股份
SZ,300456,赛微电子
SZ,300460,ST惠伦
SZ,300476,胜宏科技
SZ,300480,光力科技
SZ,300502,新易盛
SZ,300548,长芯博创
SZ,300570,太辰光
SZ,300571,平治信息
SZ,300602,飞荣达
SZ,300620,光库科技
SZ,300632,光莆股份
SZ,300652,雷迪克
SZ,300657,弘信电子
SZ,300661,圣邦股份
SZ,300684,中石科技
SZ,300708,聚灿光电
SZ,300709,精研科技
SZ,300726,宏达电子
SZ,300739,明阳电路
SZ,300757,罗博特科
SZ,300811,铂科新材
SZ,300812,易天股份
SZ,300814,中富电路
SZ,300852,四会富仕
SZ,300857,协创数据
SZ,300903,科翔股份
SZ,300913,兆龙互连
SZ,300964,本川智能
SZ,300976,达瑞电子
SZ,301013,利和兴
SZ,301029,怡合达
SZ,301041,金百泽
SZ,301085,亚康股份
SZ,301123,奕东电子
SZ,301128,强瑞技术
SZ,301132,满坤科技
SZ,301165,锐捷网络
SZ,301172,君逸数码
SZ,301183,东田微
SZ,301205,联特科技
SZ,301251,威尔高
SZ,301312,智立方
SZ,301319,唯特偶
SZ,301338,凯格精机
SZ,301387,光大同创
SZ,301419,阿莱德
SZ,301486,致尚科技
SZ,301511,德福科技
SZ,301517,陕西华达
SZ,301628,强达电路
SZ,301689,电科思仪
SH,600103,青山纸业
SH,600105,永鼎股份
SH,600114,东睦股份
SH,600171,上海贝岭
SH,600183,生益科技
SH,600184,光电股份
SH,600353,旭光电子
SH,600410,华胜天成
SH,600487,亨通光电
SH,600498,烽火通信
SH,600522,中天科技
SH,600584,长电科技
SH,600601,方正科技
SH,600703,三安光电
SH,600933,爱柯迪
SH,601137,博威合金
SH,601138,工业富联
SH,601231,环旭电子
SH,601869,长飞光纤
SH,603011,合锻智能
SH,603031,安孚科技
SH,603052,可川科技
SH,603083,剑桥科技
SH,603118,共进股份
SH,603203,快克智能
SH,603220,中贝通信
SH,603228,景旺电子
SH,603267,鸿远电子
SH,603296,华勤技术
SH,603306,华懋科技
SH,603328,依顿电子
SH,603330,天洋新材
SH,603386,骏亚科技
SH,603459,红板科技
SH,603738,泰晶科技
SH,603773,沃格光电
SH,603803,瑞斯康达
SH,603920,世运电路
SH,603936,博敏电子
SH,603960,克来机电
SH,605058,澳弘电子
SH,605358,立昂微
SH,688003,天准科技
SH,688025,杰普特
SH,688048,长光华芯
SH,688097,博众精工
SH,688099,晶晨股份
SH,688102,斯瑞新材
SH,688123,聚辰股份
SH,688127,蓝特光学
SH,688143,长盈通
SH,688167,炬光科技
SH,688170,德龙激光
SH,688183,生益电子
SH,688195,腾景科技
SH,688205,德科立
SH,688226,威腾电气
SH,688270,ST臻镭
SH,688312,燕麦科技
SH,688313,仕佳光子
SH,688328,深科达
SH,688332,中科蓝讯
SH,688371,菲沃泰
SH,688379,华光新材
SH,688381,帝奥微
SH,688388,嘉元科技
SH,688400,凌云光
SH,688498,源杰科技
SH,688516,奥特维
SH,688518,联赢激光
SH,688519,南亚新材
SH,688531,日联科技
SH,688536,思瑞浦
SH,688567,孚能科技
SH,688609,九联科技
SH,688629,华丰科技
SH,688655,迅捷兴
SH,688662,富信科技
SH,688668,鼎通科技
SH,688685,迈信林
SH,688757,胜科纳米
SH,688807,优迅股份
SH,688808,联讯仪器
SH,688813,泰金新能
BJ,920045,蘅东光
BJ,920060,万源通
BJ,920083,金戈新材
BJ,920157,宇特光电
BJ,920178,锐翔智能
BJ,920509,同惠电子
BJ,920821,则成电子
BJ,920981,晶赛科技
