mkt,code,name
SZ,000063,中兴通讯
SZ,000070,特发信息
SZ,000586,汇源通信
SZ,000720,新能泰山
SZ,000725,京东方Ａ
SZ,000801,四川九洲
SZ,000881,中广核技
SZ,000890,法尔胜
SZ,000936,华西股份
SZ,000988,华工科技
SZ,001208,华菱线缆
SZ,001229,魅视科技
SZ,001267,汇绿生态
SZ,001309,德明利
SZ,002008,大族激光
SZ,002025,航天电器
SZ,002132,恒星科技
SZ,002179,中航光电
SZ,002222,福晶科技
SZ,002254,泰和新材
SZ,002276,万马股份
SZ,002281,光迅科技
SZ,002298,中电鑫龙
SZ,002309,中利集团
SZ,002313,日海智能
SZ,002384,东山精密
SZ,002415,海康威视
SZ,002428,云南锗业
SZ,002429,兆驰股份
SZ,002436,兴森科技
SZ,002491,通鼎互联
SZ,002522,浙江众成
SZ,002643,万润股份
SZ,002725,跃岭股份
SZ,002792,通宇通讯
SZ,002829,星网宇达
SZ,002860,星帅尔
SZ,002897,意华股份
SZ,002902,铭普光磁
SZ,002957,科瑞技术
SZ,002962,五方光电
SZ,002988,豪美新材
SZ,003031,中瓷电子
SZ,300079,数码视讯
SZ,300123,ST亚光
SZ,300184,力源信息
SZ,300227,光韵达
SZ,300252,金信诺
SZ,300265,通光线缆
SZ,300270,中威电子
SZ,300292,吴通控股
SZ,300303,聚飞光电
SZ,300308,中际旭创
SZ,300351,永贵电器
SZ,300394,天孚通信
SZ,300395,菲利华
SZ,300398,飞凯材料
SZ,300408,三环集团
SZ,300433,蓝思科技
SZ,300447,全信股份
SZ,300502,新易盛
SZ,300504,天邑股份
SZ,300516,久之洋
SZ,300548,长芯博创
SZ,300557,理工光科
SZ,300565,科信技术
SZ,300570,太辰光
SZ,300571,平治信息
SZ,300603,立昂技术
SZ,300620,光库科技
SZ,300667,必创科技
SZ,300698,万马科技
SZ,300710,万隆光电
SZ,300726,宏达电子
SZ,300747,锐科激光
SZ,300757,罗博特科
SZ,300812,易天股份
SZ,300843,胜蓝股份
SZ,300909,汇创达
SZ,300913,兆龙互连
SZ,301041,金百泽
SZ,301172,君逸数码
SZ,301182,凯旺科技
SZ,301183,东田微
SZ,301196,唯科科技
SZ,301202,朗威股份
SZ,301205,联特科技
SZ,301289,国缆检测
SZ,301349,信德新材
SZ,301486,致尚科技
SZ,301516,中远通
SZ,301517,陕西华达
SZ,301566,达利凯普
SZ,301689,电科思仪
SH,600103,青山纸业
SH,600105,永鼎股份
SH,600141,兴发集团
SH,600184,光电股份
SH,600198,大唐电信
SH,600206,有研新材
SH,600330,天通股份
SH,600345,长江通信
SH,600372,中航机载
SH,600487,亨通光电
SH,600497,驰宏锌锗
SH,600498,烽火通信
SH,600500,中化国际
SH,600516,方大炭素
SH,600522,中天科技
SH,600596,新安股份
SH,600674,川投能源
SH,600703,三安光电
SH,600869,远东股份
SH,601868,中国能建
SH,601869,长飞光纤
SH,603042,华脉科技
SH,603083,剑桥科技
SH,603118,共进股份
SH,603155,新亚强
SH,603181,皇马科技
SH,603220,中贝通信
SH,603260,合盛硅业
SH,603386,骏亚科技
SH,603618,杭电股份
SH,603688,石英股份
SH,603690,至纯科技
SH,603703,盛洋科技
SH,603920,世运电路
SH,603938,三孚股份
SH,605366,宏柏新材
SH,688025,杰普特
SH,688048,长光华芯
SH,688143,长盈通
SH,688167,炬光科技
SH,688195,腾景科技
SH,688205,德科立
SH,688260,昀冢科技
SH,688313,仕佳光子
SH,688400,凌云光
SH,688418,震有科技
SH,688450,光格科技
SH,688485,九州一轨
SH,688498,源杰科技
SH,688596,正帆科技
SH,688609,九联科技
SH,688628,优利德
SH,688635,长进光子
SH,688668,鼎通科技
SH,688808,联讯仪器
BJ,920008,成电光信
BJ,920045,蘅东光
BJ,920171,志晟信息
BJ,920682,球冠电缆
BJ,920879,基康技术
