block,mkt,code,name,last_date,close,pct_chg,chg5,chg10,chg20,trend,ma5,ma10,ma20,ma60,vs_ma20,vs_ma60,ma20_slope,dif,dea,macd_bar,macd_cross5,bar_seq5,dif_above0,rsi6,rsi14,kdj_k,kdj_d,kdj_j,boll_pos,boll_up,boll_lo,vol_ratio,vol5_vs20,turnover,hi20,lo20,sup20,res20,hi60,lo60,from_hi60,range_pos60,limitups_20,pv_diverge,shrink_pullback,stale,ex_gaps_recent,error
关注个股,SH,688758,赛分科技,20260923,33.63,-0.97,13.0,18.0,23.8,强多头,32.89,30.54,28.92,26.41,16.3,27.3,5.0,1.696,1.1,1.192,,"0.471,0.833,1.017,1.200,1.192",True,80.0,69.7,89.6,85.7,97.3,97.0,33.88,23.96,1.39,1.42,4.8,34.79,25.52,25.52,34.79,34.79,19.2,-3.3,93.0,0,False,False,False,,
关注个股,SH,688428,诺诚健华,20260923,33.4,4.37,16.1,15.6,18.7,多头,30.6,29.41,29.51,29.08,13.2,14.9,1.2,0.527,0.153,0.747,金叉(2日前),"-0.265,-0.281,-0.011,0.357,0.747",True,77.1,63.9,77.8,63.9,105.4,110.0,32.78,26.25,1.75,1.23,7.68,34.12,25.84,25.84,34.12,34.12,24.47,-2.1,93.0,0,False,False,False,,
关注个股,SH,688690,纳微科技,20260923,49.21,2.8,12.6,15.0,23.0,强多头,47.22,44.73,41.31,39.71,19.1,23.9,3.3,2.147,1.216,1.864,,"1.215,1.574,1.675,1.753,1.864",True,82.9,69.1,88.0,86.1,91.9,96.0,49.92,32.71,1.08,1.08,3.17,50.26,35.01,35.01,50.26,50.26,32.06,-2.1,94.0,0,False,False,False,,
关注个股,SH,688293,奥浦迈,20260923,85.0,12.69,26.8,19.8,48.0,强多头,75.34,70.7,64.42,58.12,32.0,46.3,6.3,5.119,3.336,3.566,,"1.545,1.672,2.228,2.409,3.566",True,87.4,74.7,81.8,77.0,91.2,109.0,81.75,47.08,1.48,1.26,7.53,88.54,51.0,51.0,88.54,88.54,40.47,-4.0,93.0,1,False,False,False,20230512:-28.9%,
关注个股,SZ,301080,百普赛斯,20260923,129.8,9.26,41.2,44.7,47.0,强多头,114.71,100.77,92.42,73.25,40.4,77.2,6.0,10.664,7.095,7.138,金叉(5日前),"0.213,2.236,4.153,5.367,7.138",True,88.6,76.8,83.4,78.0,94.3,114.0,121.42,63.42,1.49,1.4,16.56,135.0,72.79,72.79,135.0,135.0,44.35,-3.9,94.0,0,False,False,False,20250711:-29.5%;20230607:-34.4%,
关注个股,SH,688046,药康生物,20260923,38.61,2.33,13.4,22.1,16.4,强多头,36.59,34.26,33.02,30.55,16.9,26.4,1.6,1.319,0.699,1.239,金叉(5日前),"0.085,0.369,0.714,1.006,1.239",True,83.9,67.9,82.6,76.2,95.5,109.0,37.8,28.24,1.18,1.2,2.98,40.3,28.91,28.91,40.3,43.47,20.7,-11.2,79.0,0,False,False,False,,
关注个股,SH,688710,益诺思,20260923,104.77,14.42,17.2,23.3,11.5,强多头,95.41,90.63,86.74,82.78,20.8,26.6,-0.0,3.017,1.41,3.214,金叉(5日前),"0.541,1.486,2.077,1.810,3.214",True,78.5,67.0,85.1,80.7,94.0,120.0,99.64,73.84,2.06,1.1,7.48,105.5,76.77,76.77,105.5,105.5,60.09,-0.7,98.0,0,True,False,False,,
关注个股,SH,688796,百奥赛图,20260923,135.5,1.02,7.1,7.5,13.0,强多头,133.7,128.17,125.28,124.58,8.2,8.8,1.1,2.265,0.811,2.908,金叉(5日前),"0.157,1.459,2.680,2.808,2.908",True,65.7,57.9,77.5,69.5,93.5,92.0,137.39,113.17,1.04,1.16,7.92,140.98,113.91,113.91,140.98,154.99,93.19,-12.6,68.0,0,False,False,False,,
关注个股,SH,688202,美迪西,20260923,117.08,6.57,13.2,21.1,12.3,强多头,109.38,102.96,99.08,91.52,18.2,27.9,1.8,4.449,2.705,3.488,金叉(5日前),"0.568,1.304,2.132,2.505,3.488",True,86.3,69.8,86.2,79.8,99.0,114.0,113.06,85.1,1.2,1.04,5.84,120.0,87.4,87.4,120.0,120.0,67.87,-2.4,94.0,0,False,False,False,20230602:-28.1%;20220608:-28.0%,
关注个股,SZ,000739,普洛药业,20260923,25.32,5.5,12.1,13.0,22.1,强多头,24.14,23.24,22.56,21.18,12.2,19.6,3.9,0.815,0.56,0.509,,"0.098,0.175,0.378,0.373,0.509",True,76.3,69.0,85.2,79.2,97.4,114.0,24.71,20.42,1.29,1.13,1.7,25.5,20.56,20.56,25.5,25.5,16.91,-0.7,98.0,0,False,False,False,20140530:-22.8%;20130621:-51.5%;20070705:-38.0%,
