mkt,code,name
SH,688167,炬光科技
BJ,920045,蘅东光
SZ,300394,天孚通信
SH,688313,仕佳光子
SZ,300570,太辰光
SH,688025,杰普特
SH,688143,长盈通
SZ,300620,光库科技
SZ,300548,长芯博创
SH,603228,景旺电子
SZ,300476,胜宏科技
SZ,002463,沪电股份
SH,601208,东材科技
SH,688205,德科立
SH,688498,源杰科技
SZ,300857,协创数据
SZ,300489,光智科技
SH,688048,长光华芯
SH,600487,亨通光电
SZ,301536,星宸科技
SH,603893,瑞芯微
SH,600330,天通股份
SH,603256,宏和科技
SH,600183,生益科技
SH,603186,华正新材
SZ,301511,德福科技
SH,688361,中科飞测
SH,688300,联瑞新材
SH,600176,中国巨石
SH,688183,生益电子
SZ,002428,云南锗业
SZ,301217,铜冠铜箔
SZ,301377,鼎泰高科
SZ,300308,中际旭创
SZ,300502,新易盛
SH,688825,长鑫科技
SH,601869,长飞光纤
SH,688195,腾景科技
SZ,300684,中石科技
SZ,301591,肯特股份
SH,688800,瑞可达
SH,688668,鼎通科技
SZ,002851,麦格米特
SZ,002536,飞龙股份
SZ,300757,罗博特科
SH,688627,精智达
SH,600378,昊华科技
SZ,002886,沃特股份
SZ,002384,东山精密
SH,688256,寒武纪
SZ,002975,博杰股份
SZ,002837,英维克
SZ,300499,高澜股份
SZ,000636,风华高科
SZ,300285,国瓷材料
SZ,300408,三环集团
SH,603738,泰晶科技
SH,515880,N/A
SZ,301526,国际复材
SH,600641,先导基电
SZ,002938,鹏鼎控股
SH,688630,芯碁微装
SZ,000657,中钨高新
SZ,002080,中材科技
SZ,002008,大族激光
SZ,301200,大族数控
SZ,001309,德明利
SH,600522,中天科技
SH,601138,工业富联
SZ,002415,海康威视
SZ,301128,强瑞技术
SH,601133,柏诚股份
SH,603929,亚翔集成
SH,603163,圣晖集成
SZ,301205,联特科技
SZ,300395,菲利华
SZ,002050,三花智控
SH,688126,沪硅产业
SH,688783,西安奕材
SH,688432,有研硅
SZ,300088,长信科技
SH,688008,澜起科技
SH,688146,中船特气
SH,688549,中巨芯
