block,mkt,code,name,last_date,close,pct_chg,chg5,chg10,chg20,trend,ma5,ma10,ma20,ma60,vs_ma20,vs_ma60,ma20_slope,dif,dea,macd_bar,macd_cross5,bar_seq5,dif_above0,rsi6,rsi14,kdj_k,kdj_d,kdj_j,boll_pos,boll_up,boll_lo,vol_ratio,vol5_vs20,turnover,hi20,lo20,sup20,res20,hi60,lo60,from_hi60,range_pos60,limitups_20,pv_diverge,shrink_pullback,stale,ex_gaps_recent,w_bars,w_close,w_ma5,w_ma10,w_ma20,w_vs_ma10,w_vs_ma20,w_ma10_slope,w_trend,w_dif,w_macd_bar,w_macd_cross5,w_dif_above0,w_hi20,w_lo20,w_from_hi20,w_pos20,w_new_high20,w_sup,w_res,w_vol_prev8,w_vol_ratio_raw,w_partial,w_days,w_note,resonance,error
关注个股,SH,688758,赛分科技,20260924,32.5,-3.36,4.2,18.2,22.4,多头,33.16,31.04,29.22,26.59,11.2,22.2,5.8,1.7,1.22,0.961,,"0.833,1.017,1.200,1.192,0.961",True,63.3,63.5,84.0,85.1,81.8,82.0,34.28,24.15,0.99,1.37,3.46,34.79,25.52,25.52,34.79,34.79,19.2,-6.6,85.0,0,False,False,False,,89,32.5,29.12,27.83,23.97,16.8,35.6,13.3,周线多头,2.895,1.678,,True,33.33,16.31,-2.5,95.0,False,27.83,33.33,56661463.2,0.92,True,4,,日周共振向上,
关注个股,SH,688428,诺诚健华,20260924,29.86,-10.6,3.6,9.6,3.4,多头,30.81,29.67,29.56,29.09,1.0,2.6,1.9,0.464,0.215,0.498,金叉(3日前),"-0.281,-0.011,0.357,0.747,0.498",True,48.0,50.8,66.5,64.8,69.9,55.0,32.82,26.31,2.31,1.47,11.09,35.0,25.84,25.84,35.0,35.0,24.47,-14.7,51.0,0,False,False,False,,205,29.86,29.06,29.0,27.27,3.0,9.5,1.6,周线多头,1.093,0.099,,True,33.33,19.92,-10.4,74.0,False,29.0,33.33,59353868.6,1.46,True,4,,日周共振向上,
关注个股,SH,688690,纳微科技,20260924,46.99,-4.51,4.7,12.6,19.7,多头,47.64,45.26,41.7,39.79,12.7,18.1,4.3,2.172,1.407,1.53,,"1.574,1.675,1.753,1.864,1.530",True,61.7,61.4,81.2,84.4,74.6,80.0,50.59,32.81,0.94,1.1,2.78,50.26,35.01,35.01,50.26,50.26,32.06,-6.5,82.0,0,False,False,False,,269,46.99,41.86,40.77,39.68,15.2,18.4,3.9,周线多头,3.21,0.81,周金叉(2周前),True,48.0,32.06,-2.1,94.0,False,40.77,48.0,59009637.4,0.83,True,4,,日周共振向上,
关注个股,SH,688293,奥浦迈,20260924,77.45,-8.88,10.5,15.8,35.9,强多头,76.81,71.76,65.44,58.69,18.3,32.0,7.4,5.261,3.721,3.079,,"1.672,2.228,2.409,3.566,3.079",True,61.6,62.7,73.6,75.9,69.0,84.0,83.31,47.58,1.14,1.23,5.99,88.54,51.0,51.0,88.54,88.54,40.47,-12.5,77.0,1,False,False,False,20230512:-28.9%,205,77.45,64.59,61.66,52.27,25.6,48.2,16.1,周线多头,5.357,5.563,,True,75.5,34.13,2.6,105.0,True,61.66,75.5,26500835.0,1.17,True,4,,日周共振向上,
关注个股,SZ,301080,百普赛斯,20260924,121.41,-6.46,22.3,48.8,41.0,强多头,119.14,104.75,94.18,74.49,28.9,63.0,7.9,11.266,7.929,6.674,,"2.236,4.153,5.367,7.138,6.674",True,70.2,68.5,80.9,79.0,84.8,93.0,125.63,62.74,1.19,1.41,13.52,135.0,72.79,72.79,135.0,135.0,44.35,-10.1,85.0,0,False,False,False,20250711:-29.5%;20230607:-34.4%,252,121.41,94.76,82.83,63.17,46.6,92.2,31.8,周线多头,14.514,12.928,,True,119.14,35.87,1.9,103.0,True,82.83,119.14,73608163.4,1.11,True,4,,日周共振向上,
关注个股,SH,688046,药康生物,20260924,35.92,-6.97,4.0,17.5,7.6,多头,36.86,34.79,33.15,30.76,8.4,16.8,2.3,1.302,0.82,0.964,,"0.369,0.714,1.006,1.239,0.964",True,55.4,57.1,75.1,75.8,73.8,78.0,38.09,28.21,1.28,1.19,3.29,40.3,28.91,28.91,40.3,43.47,20.7,-17.4,67.0,0,False,False,False,,226,35.92,32.84,32.27,26.69,11.3,34.6,13.0,周线多头,4.246,1.345,,True,43.47,16.98,-17.4,71.0,False,32.27,43.47,73351611.1,0.69,True,4,,日周共振向上,
关注个股,SH,688710,益诺思,20260924,96.0,-8.37,6.4,13.7,6.5,多头,96.57,91.79,87.03,83.3,10.3,15.3,0.9,3.148,1.758,2.781,,"1.486,2.077,1.810,3.214,2.781",True,56.5,56.7,77.6,79.7,73.4,83.0,100.48,73.58,1.46,1.26,5.39,105.5,76.77,76.77,105.5,105.5,60.09,-9.0,79.0,0,False,False,False,,107,96.0,88.11,87.01,74.95,10.3,28.1,10.5,周线多头,8.808,2.916,,True,103.69,50.57,-7.4,86.0,False,87.01,103.69,16921414.2,1.09,True,4,,日周共振向上,
关注个股,SH,688796,百奥赛图,20260924,126.54,-6.61,-0.0,3.3,4.0,震荡,133.69,128.57,125.52,124.79,0.8,1.4,1.7,1.848,1.018,1.66,,"1.459,2.680,2.808,2.908,1.660",True,43.5,49.4,63.2,67.4,54.9,54.0,137.53,113.51,0.89,1.15,6.74,140.98,113.91,113.91,140.98,154.99,93.19,-18.4,54.0,0,False,False,False,,41,126.54,123.6,126.49,114.25,0.0,10.8,5.7,周线偏多,11.27,-0.587,周死叉(1周前),True,154.99,80.99,-18.4,62.0,False,126.49,154.99,17060114.0,0.74,True,4,,周多日震(回踩确认),
关注个股,SH,688202,美迪西,20260924,107.91,-7.83,3.9,14.2,7.5,多头,110.18,104.3,99.46,92.02,8.5,17.3,2.5,4.393,3.042,2.701,,"1.304,2.132,2.505,3.488,2.701",True,55.7,57.7,78.2,79.3,76.1,79.0,113.95,84.96,1.09,1.08,5.26,120.0,87.4,87.4,120.0,120.0,67.87,-10.1,77.0,0,False,False,False,20230602:-28.1%;20220608:-28.0%,353,107.91,98.89,95.44,80.91,13.1,33.4,10.1,周线多头,10.363,4.625,,True,113.6,50.5,-5.0,91.0,False,95.44,113.6,41146151.5,0.69,True,4,,日周共振向上,
关注个股,SZ,000739,普洛药业,20260924,25.3,-0.08,9.6,14.3,17.5,强多头,24.58,23.56,22.75,21.3,11.2,18.8,4.4,0.907,0.629,0.555,,"0.175,0.378,0.373,0.509,0.555",True,75.9,68.8,87.0,81.8,97.4,103.0,25.15,20.36,1.03,1.15,1.36,25.68,20.91,20.91,25.68,25.68,17.4,-1.5,95.0,0,False,False,False,20140530:-22.8%;20130621:-51.5%;20070705:-38.0%,1469,25.3,22.88,22.1,19.58,14.5,29.2,10.6,周线多头,1.695,1.004,,True,24.85,15.19,1.8,105.0,True,22.1,24.85,118261741.1,0.61,True,4,,日周共振向上,
