板块,代码,名称,市场,收盘,当日涨跌,近5日,近1月,近3月,日趋势,周趋势,月趋势,日MA排列,周MA排列,月MA排列,MA5,MA10,MA20,MA60,BIAS20,RSI14,KDJ_K,KDJ_D,KDJ_J,日MACD,周MACD,月MACD,日DIF,日DEA,VR5,量比5_20,距52周高,五二周位置,ATRpct,背离,复权修正,是否ETF,今日除息
AI硬件,000636,风华高科,SZ,59.25,1.8,0.59,14.14,-26.19,→,→,↑,均线交织,均线交织,多头排列,58.038,55.551,53.721,55.1528,10.29,65.3,76.69,69.8,90.46,金叉,死叉,金叉,0.8706,-0.0217,1.13,1.19,-29.46,64.3,5.16,,,,
AI硬件,000657,中钨高新,SZ,60.49,-2.06,2.23,-9.39,-36.71,→,↓,↑,均线交织,空头排列,多头(价回MA5下),61.484,60.489,61.5785,65.4587,-1.77,44.74,62.91,56.94,74.85,金叉,死叉,金叉,-1.1014,-1.3016,1.0,1.23,-46.93,45.2,4.51,,,,
AI硬件,001309,德明利,SZ,415.0,0.46,6.99,3.66,-57.22,↓,→,↑,空头(价上突),均线交织,多头(价回MA5下),402.4,404.733,408.0825,496.2298,1.7,48.89,51.71,39.08,76.97,金叉,死叉,金叉,-10.1845,-14.5689,0.99,0.9,-57.65,36.3,4.5,,,,
AI硬件,002008,大族激光,SZ,96.55,-3.06,4.63,12.14,-31.62,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),96.02,95.058,92.887,101.0937,3.94,53.22,69.68,66.88,75.29,金叉,死叉,金叉,0.0482,-0.9553,1.15,1.02,-42.56,46.7,5.45,,,,
AI硬件,002050,三花智控,SZ,36.18,2.46,4.27,1.32,-12.33,↓,↓,→,空头(价上突),空头(价上突),均线交织,34.732,35.11,35.616,38.3088,1.58,51.35,49.61,33.11,82.61,金叉,死叉,死叉,-0.7572,-0.8856,1.3,1.26,-40.46,12.1,2.86,,,,
AI硬件,002080,中材科技,SZ,66.24,10.0,25.48,34.01,-26.81,→,→,↑,均线交织,均线交织,多头排列,58.96,55.036,52.8295,57.2548,25.38,83.65,84.43,75.39,102.52,金叉,死叉,金叉,1.5241,-0.2258,1.42,1.71,-35.2,50.8,5.66,,,,
AI硬件,002384,东山精密,SZ,195.02,-0.58,5.35,0.73,-21.86,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),191.904,191.527,190.7595,206.0115,2.23,54.89,62.39,56.84,73.47,金叉,死叉,金叉,-1.7724,-3.1935,0.86,0.99,-30.37,61.5,4.94,,,,
AI硬件,002415,海康威视,SZ,32.58,-1.09,-1.75,-4.6,-1.24,↓,→,↑,空头排列,均线交织,多头(价回MA5下),32.67,33.067,34.11,34.8965,-4.49,13.05,23.0,25.12,18.75,死叉,死叉,金叉,-0.7105,-0.5497,1.39,0.8,-16.85,37.6,2.4,,,,
AI硬件,002428,云南锗业,SZ,93.49,-0.01,3.59,-1.97,-24.6,→,→,↑,均线交织,均线交织,多头(价回MA5下),92.958,91.499,93.1115,92.096,0.41,47.43,62.27,54.24,78.32,刚金叉,死叉,金叉,-0.397,-0.412,0.85,1.06,-29.64,63.8,4.7,,,,
AI硬件,002463,沪电股份,SZ,126.0,2.02,0.24,9.02,-10.68,→,→,↑,均线交织,均线交织,多头(价回MA5下),125.32,126.092,122.637,122.2655,2.74,57.05,57.78,64.27,44.81,金叉,死叉,金叉,1.6097,1.379,0.95,0.96,-20.35,67.4,4.87,,,,
AI硬件,002536,飞龙股份,SZ,53.82,0.34,0.99,10.29,20.54,→,↑,↑,均线交织,多头(价回MA5下),多头排列,53.718,54.43,54.857,48.728,-1.89,52.05,33.6,33.08,34.65,死叉,金叉,金叉,1.6775,2.3439,1.25,0.73,-15.87,76.8,7.21,,,,
AI硬件,002837,英维克,SZ,62.23,-1.66,3.7,13.66,-18.87,→,→,→,均线交织,均线交织,均线交织,61.826,61.62,63.308,61.4958,-1.7,39.46,48.76,36.56,73.18,死叉,死叉,死叉,0.5185,0.7145,0.99,0.58,-33.42,34.4,4.63,,是,,
AI硬件,002851,麦格米特,SZ,124.8,-1.58,4.51,4.14,-22.64,↓,→,↑,空头(价上突),均线交织,多头(价回MA5下),122.632,124.173,124.676,130.2412,0.1,50.47,43.33,35.76,58.45,金叉,死叉,金叉,-0.8172,-0.9385,0.85,0.94,-34.31,47.1,6.1,,,,
AI硬件,002886,沃特股份,SZ,26.95,2.08,6.35,31.59,2.01,↑,→,↑,多头排列,均线交织,多头排列,26.652,26.08,26.0795,22.3792,3.34,46.7,63.11,53.94,81.45,死叉,金叉,金叉,1.1752,1.2984,0.91,0.87,-22.45,59.5,7.52,,,,
AI硬件,002938,鹏鼎控股,SZ,90.5,0.69,2.56,2.9,-10.4,→,↓,↑,均线交织,空头(价上突),多头(价回MA5下),89.942,90.436,89.1305,91.9368,1.54,54.58,39.86,45.92,27.73,金叉,死叉,金叉,-0.3025,-0.6336,1.07,0.97,-26.48,59.7,5.01,,,,
AI硬件,002975,博杰股份,SZ,107.53,2.55,8.07,-1.24,-22.08,→,→,↑,均线交织,均线交织,多头(价回MA5下),104.322,101.939,102.3565,100.6827,5.05,56.41,68.71,58.79,88.54,金叉,死叉,金叉,1.2905,0.7104,0.97,0.74,-31.93,56.8,5.92,,是,,
