代码	名称	板块	收盘	MA5	MA10	MA20	MA60	5日%	20日%	MACD	K/D	量比	阶段	评分
sz002821	凯莱英	AIYJ	185.20	181.74	175.72	170.59	167.29	12.84	10.17	gold	78.9/76.0	0.99	横盘整理	92.0
sh688025	杰普特	AIYJ	442.56	421.76	410.40	401.80	377.09	12.96	7.71	gold	77.0/69.9	1.24	横盘整理	91.0
sz300570	太辰光	AIYJ	229.35	208.88	205.77	201.26	182.14	14.18	6.94	gold	74.2/67.7	1.43	横盘整理	89.0
sh688498	源杰科技	AIYJ	1835.00	1749.68	1730.34	1628.84	1549.59	7.88	15.63	gold	79.0/76.8	1.22	横盘整理	89.0
sh601208	东材科技	AIYJ	51.30	51.11	49.56	48.47	48.38	7.5	12.18	gold	67.3/63.1	1.00	横盘整理	88.0
sz300857	协创数据	AIYJ	267.89	259.34	262.04	257.38	256.62	2.64	8.28	gold_today	54.4/48.8	1.08	横盘整理	85.0
sh688432	有研硅	AIYJ	56.82	51.42	48.37	45.85	39.74	25.65	45.95	gold	74.0/65.1	1.04	横盘整理	85.0
sh688143	长盈通	AIYJ	195.52	193.58	185.52	176.08	141.58	0.27	23.12	gold	74.9/72.0	1.06	横盘整理	82.0
sz300548	长芯博创	AIYJ	238.80	222.89	217.76	210.46	197.09	14.9	20.96	gold	73.7/65.2	1.13	横盘整理	81.0
sh688313	仕佳光子	AIYJ	170.38	156.73	153.50	152.50	140.80	14.73	7.84	gold	75.0/59.7	1.27	突破/攻击	81.0
sz300394	天孚通信	AIYJ	284.66	269.13	266.01	260.67	246.27	8.67	4.24	gold	72.8/63.9	1.15	横盘整理	77.0
sz300684	中石科技	AIYJ	97.89	91.79	90.45	90.02	69.81	14.09	16.4	dead	59.5/43.6	0.92	横盘整理	73.0
sz002886	沃特股份	AIYJ	26.40	26.33	26.04	25.76	22.37	4.85	24.29	dead	56.1/49.4	0.82	横盘整理	72.0
sz002975	博杰股份	AIYJ	104.86	102.72	101.64	102.42	101.19	8.1	4.29	gold	62.1/53.8	0.97	横盘整理	72.0
sz000636	风华高科	AIYJ	58.20	57.97	54.67	53.35	55.50	3.95	6.46	gold	74.5/66.4	0.84	横盘整理	72.0
sh688167	炬光科技	AIYJ	311.62	295.62	300.06	291.16	261.65	8.73	10.87	dead	61.5/54.7	0.91	横盘整理	69.0
sz300408	三环集团	AIYJ	130.96	128.18	123.08	116.68	120.89	5.31	14.98	gold	87.8/81.0	0.88	突破/攻击	69.0
sh600522	中天科技	AIYJ	35.98	35.20	34.31	34.08	36.54	4.32	7.63	gold	81.5/72.6	1.15	弱势/下降通道	69.0
sh688048	长光华芯	AIYJ	342.00	319.16	312.37	299.67	327.02	15.66	11.32	gold	77.0/66.7	1.11	横盘整理	68.0
sh600487	亨通光电	AIYJ	69.49	65.80	65.19	65.54	66.01	6.51	11.76	gold	65.8/52.1	1.33	横盘整理	68.0
sz300499	高澜股份	AIYJ	37.72	37.74	36.68	34.15	31.95	8.08	33.47	gold	79.6/79.6	0.91	横盘整理	67.0
sh688256	寒武纪	AIYJ	1113.14	1094.19	1076.11	1067.82	1182.01	7.03	7.55	gold	66.3/57.2	1.13	弱势/下降通道	66.0
sh600330	天通股份	AIYJ	29.37	29.83	29.33	28.35	24.73	6.88	7.7	dead_today	70.4/67.9	0.88	横盘整理	65.0
sh601869	长飞光纤	AIYJ	454.99	460.94	447.38	424.17	391.31	-4.01	25.13	gold	80.0/79.5	1.05	上升趋势中回踩	65.0
sh688195	腾景科技	AIYJ	199.48	187.01	194.22	188.78	160.35	2.36	15.98	dead	38.1/37.7	1.10	横盘整理	65.0
