代码	名称	板块	收盘	MA5	MA10	MA20	MA60	5日%	20日%	MACD	K/D	量比	阶段	评分
sh688293	奥浦迈	GZGG	70.70	67.83	66.73	61.37	56.32	8.6	14.49	gold	72.4/68.4	1.03	横盘整理	96.0
sz000739	普洛药业	GZGG	23.48	22.84	22.55	21.92	20.79	7.02	13.32	gold	74.3/70.1	1.21	横盘整理	94.0
sz000504	南华生物	GZGG	10.01	8.87	8.73	8.48	8.24	20.31	18.74	gold	74.8/61.6	2.18	突破/攻击	94.0
sz002821	凯莱英	AIYJ+GZGG	185.20	181.74	175.72	170.59	167.29	12.84	10.17	gold	78.9/76.0	0.99	横盘整理	92.0
sh688621	阳光诺和	GZGG	73.32	72.59	71.15	69.17	62.21	6.94	11.07	gold	78.9/74.0	0.94	横盘整理	92.0
sh688025	杰普特	AIYJ	442.56	421.76	410.40	401.80	377.09	12.96	7.71	gold	77.0/69.9	1.24	横盘整理	91.0
sz301080	百普赛斯	GZGG	109.48	96.52	90.69	87.82	69.59	39.11	10.68	gold	75.3/70.0	1.47	横盘整理	90.0
sz300570	太辰光	AIYJ	229.35	208.88	205.77	201.26	182.14	14.18	6.94	gold	74.2/67.7	1.43	横盘整理	89.0
sh688498	源杰科技	AIYJ	1835.00	1749.68	1730.34	1628.84	1549.59	7.88	15.63	gold	79.0/76.8	1.22	横盘整理	89.0
sh688758	赛分科技	GZGG	32.80	30.12	28.79	27.90	25.85	22.34	20.01	gold	85.7/75.9	1.66	突破/攻击	89.0
sh601208	东材科技	AIYJ	51.30	51.11	49.56	48.47	48.38	7.5	12.18	gold	67.3/63.1	1.00	横盘整理	88.0
sz300857	协创数据	AIYJ	267.89	259.34	262.04	257.38	256.62	2.64	8.28	gold_today	54.4/48.8	1.08	横盘整理	85.0
sh688432	有研硅	AIYJ	56.82	51.42	48.37	45.85	39.74	25.65	45.95	gold	74.0/65.1	1.04	横盘整理	85.0
sz300347	泰格医药	GZGG	57.39	56.68	54.73	52.76	51.04	8.69	5.55	gold	84.1/78.9	1.03	横盘整理	85.0
sh688073	毕得医药	GZGG	68.16	63.59	61.96	61.89	59.34	22.46	-4.8	gold_today	71.8/59.4	1.22	横盘整理	84.0
sh688222	成都先导	GZGG	39.97	35.77	33.71	33.40	32.94	31.09	10.54	gold	79.1/63.6	1.57	横盘整理	83.0
sh688143	长盈通	AIYJ	195.52	193.58	185.52	176.08	141.58	0.27	23.12	gold	74.9/72.0	1.06	横盘整理	82.0
sz300548	长芯博创	AIYJ	238.80	222.89	217.76	210.46	197.09	14.9	20.96	gold	73.7/65.2	1.13	横盘整理	81.0
sh688313	仕佳光子	AIYJ	170.38	156.73	153.50	152.50	140.80	14.73	7.84	gold	75.0/59.7	1.27	突破/攻击	81.0
sh688046	药康生物	GZGG	35.28	33.81	32.48	32.44	29.90	18.43	2.71	gold	74.4/62.9	1.04	横盘整理	79.0
sz300394	天孚通信	AIYJ	284.66	269.13	266.01	260.67	246.27	8.67	4.24	gold	72.8/63.9	1.15	横盘整理	77.0
sz300363	博腾股份	GZGG	22.79	21.92	21.34	20.57	19.04	11.5	4.11	gold	79.1/72.4	1.10	横盘整理	77.0
sh688690	纳微科技	GZGG	47.20	44.09	42.44	40.18	39.56	14.81	8.76	gold	90.1/82.1	1.54	横盘整理	76.0
sh601328	交通银行	GZGG	7.46	7.56	7.46	7.35	7.04	-0.27	4.78	gold	73.5/78.7	1.23	上升趋势中回踩	75.0
sz300684	中石科技	AIYJ	97.89	91.79	90.45	90.02	69.81	14.09	16.4	dead	59.5/43.6	0.92	横盘整理	73.0
