== 板块: AI硬件 (AIYJ.blk) ==
sh688025 杰普特 收442.56 5日+13.0% 20日+7.7% 评分91
sz300570 太辰光 收229.35 5日+14.2% 20日+6.9% 评分89
sh688498 源杰科技 收1835.00 5日+7.9% 20日+15.6% 评分89
sz300857 协创数据 收267.89 5日+2.6% 20日+8.3% 评分85
sh688143 长盈通 收195.52 5日+0.3% 20日+23.1% 评分82
sz300548 长芯博创 收238.80 5日+14.9% 20日+21.0% 评分81
sz300394 天孚通信 收284.66 5日+8.7% 20日+4.2% 评分77
sh601208 东材科技 收51.30 5日+7.5% 20日+12.2% 评分88
sh688048 长光华芯 收342.00 5日+15.7% 20日+11.3% 评分68
sh600487 亨通光电 收69.49 5日+6.5% 20日+11.8% 评分68
sz300620 光库科技 收297.41 5日+2.7% 20日-2.5% 评分53
bj920045 蘅东光 收570.99 5日-2.1% 20日+42.2% 评分59
sh688313 仕佳光子 收170.38 5日+14.7% 20日+7.8% 评分81
sz301536 星宸科技 收125.77 5日+13.4% 20日+7.4% 评分41
sh600330 天通股份 收29.37 5日+6.9% 20日+7.7% 评分65
sh603256 宏和科技 收148.79 5日+14.6% 20日+6.0% 评分54
sh600183 生益科技 收143.93 5日-3.0% 20日+8.4% 评分54
sh688167 炬光科技 收311.62 5日+8.7% 20日+10.9% 评分69
sh603186 华正新材 收226.78 5日-0.4% 20日+31.6% 评分64
sz301511 德福科技 收110.50 5日+3.9% 20日+21.9% 评分55
sh688361 中科飞测 收386.36 5日+26.8% 20日+10.6% 评分60
sh688300 联瑞新材 收176.80 5日-1.1% 20日+21.7% 评分52
sh600176 中国巨石 收45.02 5日+0.8% 20日+7.1% 评分59
sh688183 生益电子 收121.20 5日-3.2% 20日+12.7% 评分41
sz002428 云南锗业 收93.50 5日+5.7% 20日-7.3% 评分51
sz301217 铜冠铜箔 收113.29 5日+5.6% 20日-1.3% 评分52
sz301377 鼎泰高科 收408.89 5日+4.8% 20日-1.8% 评分48
sz300308 中际旭创 收926.43 5日+0.1% 20日-1.8% 评分48
sz300502 新易盛 收445.00 5日+5.2% 20日+0.7% 评分52
sh688825 长鑫科技 (上市不足65个交易日,未评分)
sh601869 长飞光纤 收454.99 5日-4.0% 20日+25.1% 评分65
sh688205 德科立 收219.85 5日+0.4% 20日+38.0% 评分63
sh688195 腾景科技 收199.48 5日+2.4% 20日+16.0% 评分65
sz300684 中石科技 收97.89 5日+14.1% 20日+16.4% 评分73
sz301591 肯特股份 收44.43 5日+2.3% 20日+17.6% 评分55
sh688800 瑞可达 收69.32 5日+3.7% 20日+9.1% 评分59
sh688668 鼎通科技 收269.60 5日+9.0% 20日+7.1% 评分58
sz002851 麦格米特 收126.80 5日+0.9% 20日-1.0% 评分45
sz002536 飞龙股份 收53.64 5日+0.6% 20日+14.2% 评分52
sz300757 罗博特科 收620.60 5日-1.5% 20日+23.0% 评分55
sh688627 精智达 收503.00 5日+10.7% 20日+3.8% 评分48
sh600378 昊华科技 收48.00 5日+5.8% 20日+1.6% 评分46
sz002886 沃特股份 收26.40 5日+4.8% 20日+24.3% 评分72
sz002384 东山精密 收196.15 5日+0.9% 20日-2.5% 评分48
sh688256 寒武纪 收1113.14 5日+7.0% 20日+7.5% 评分66
sz002975 博杰股份 收104.86 5日+8.1% 20日+4.3% 评分72
sz002837 英维克 收63.28 5日+4.5% 20日+16.9% 评分59
sz300499 高澜股份 收37.72 5日+8.1% 20日+33.5% 评分67
sz000636 风华高科 收58.20 5日+4.0% 20日+6.5% 评分72
sz300285 国瓷材料 收67.16 5日+7.0% 20日-1.0% 评分54
sz300408 三环集团 收130.96 5日+5.3% 20日+15.0% 评分69
sh603738 泰晶科技 收37.89 5日+8.1% 20日+0.8% 评分46
