排名,代码,名称,所属板块,收盘价,近5日%,近20日%,近60日%,量比(5/20),RSI14,MACD柱,近5日金叉,距250日高%,250日位置%,ATR14%,MA20斜率%,技术分,技术信号
1,SH688293,奥浦迈,关注个股,70.7,8.6,14.49,87.78,1.25,73.4,1.672,否,-6.36,88.4,7.43,1.83,83.0,多头排列/MACD红柱放大
2,SH688025,杰普特,AI硬件,442.56,12.96,7.71,-6.4,1.05,61.4,8.168,是,-11.92,84.0,5.9,0.84,81.0,多头排列/MACD红柱放大/近5日MACD金叉
3,SH688758,赛分科技,关注个股,32.8,22.34,20.01,70.83,1.16,70.3,0.833,是,-1.59,97.0,5.52,1.68,79.0,多头排列/MACD红柱放大/近5日MACD金叉/逼近/创250日新高/短线急涨过热
4,SZ002821,凯莱英,关注个股,185.2,12.84,10.17,21.44,1.03,70.1,3.47,是,-7.4,86.7,4.79,0.98,78.0,多头排列/MACD红柱放大/近5日MACD金叉
5,SZ000504,南华生物,关注个股,10.01,20.31,18.74,38.26,1.42,74.4,0.229,是,-7.4,78.9,4.2,0.85,77.0,多头排列/MACD红柱放大/近5日MACD金叉/短线急涨过热
6,SH688222,成都先导,关注个股,39.97,31.09,10.54,31.05,1.34,76.7,1.415,是,-7.0,86.0,4.99,-1.06,76.0,多头排列/MACD红柱放大/近5日MACD金叉/短线急涨过热
7,SH688432,有研硅,AI硬件,56.82,25.65,45.95,145.13,1.12,66.4,2.117,否,-6.52,92.0,10.57,11.23,75.0,多头排列/MACD红柱放大/短线急涨过热
8,SZ300570,太辰光,AI硬件,229.35,14.18,6.94,-2.03,1.1,65.6,2.916,是,-19.77,71.7,5.97,1.09,74.0,多头排列/MACD红柱放大/近5日MACD金叉
9,SH688046,药康生物,关注个股,35.28,18.43,2.71,54.74,1.11,62.7,0.369,是,-18.84,73.2,5.31,-2.72,73.0,多头排列/MACD红柱放大/近5日MACD金叉
10,SZ301080,百普赛斯,关注个股,109.48,39.11,10.68,150.41,1.03,73.1,2.236,是,-8.11,88.4,8.35,0.8,72.0,多头排列/MACD红柱放大/近5日MACD金叉/短线急涨过热
11,SZ000636,风华高科,AI硬件,58.2,3.95,6.46,-25.86,1.31,54.3,1.711,否,-30.71,62.8,5.34,0.02,72.0,多头排列/MACD红柱放大
12,SH688202,美迪西,关注个股,106.2,18.87,5.7,50.49,0.97,65.3,1.304,是,-6.51,88.3,5.02,-0.88,71.0,多头排列/MACD红柱放大/近5日MACD金叉
13,SZ000739,普洛药业,关注个股,23.48,7.02,13.32,47.12,0.82,70.0,0.175,是,-5.51,86.2,3.43,1.12,71.0,多头排列/MACD红柱放大/近5日MACD金叉
14,SZ002080,中材科技,AI硬件,60.22,16.89,11.7,-38.34,1.53,67.8,2.567,否,-41.09,42.5,5.85,-0.22,71.0,多头排列/MACD红柱放大/明显放量
15,SH688621,阳光诺和,关注个股,73.32,6.94,11.07,44.96,0.79,63.8,0.193,是,-14.69,67.8,4.22,2.19,70.0,多头排列/MACD红柱放大/近5日MACD金叉
16,SH688498,源杰科技,AI硬件,1835.0,7.88,15.63,3.27,0.92,77.1,36.121,否,-6.76,91.9,4.97,2.81,69.0,多头排列/MACD红柱放大
17,SZ300548,长芯博创,AI硬件,238.8,14.9,20.96,-9.08,0.98,65.1,5.177,是,-22.96,67.6,5.89,2.13,69.0,多头排列/MACD红柱放大/近5日MACD金叉
18,SH688313,仕佳光子,AI硬件,170.38,14.73,7.84,-5.19,1.07,59.0,2.143,是,-17.56,76.2,5.72,-0.39,69.0,多头排列/MACD红柱放大/近5日MACD金叉
19,SH688690,纳微科技,关注个股,47.2,14.81,8.76,10.36,0.92,74.7,1.574,否,-1.67,96.8,4.79,-0.15,67.0,多头排列/MACD红柱放大/逼近/创250日新高
20,SH601328,交通银行,关注个股,7.46,-0.27,4.78,14.59,1.06,60.2,0.017,否,-3.99,77.9,1.9,1.74,67.0,多头排列/逼近/创250日新高
21,SH688048,长光华芯,AI硬件,342.0,15.66,11.32,-13.64,1.11,65.9,12.211,否,-32.82,62.5,6.04,0.4,67.0,多头排列/MACD红柱放大
22,SZ300347,泰格医药,关注个股,57.39,8.69,5.55,27.39,0.98,63.2,1.071,否,-15.42,67.6,4.13,1.21,65.0,多头排列/MACD红柱放大
23,SH603186,华正新材,AI硬件,226.78,-0.42,31.57,-8.28,0.94,65.2,7.038,否,-15.97,81.6,8.67,8.45,65.0,多头排列
24,SH600522,中天科技,AI硬件,35.98,4.32,7.63,-41.3,1.23,53.4,0.867,否,-47.17,39.1,4.24,0.96,64.0,多头排列/MACD红柱放大
25,SH601998,中信银行,关注个股,8.96,0.45,6.79,25.67,0.8,56.0,-0.062,否,-1.21,95.0,2.28,2.51,63.0,多头排列/逼近/创250日新高
26,SH688073,毕得医药,关注个股,68.16,22.46,-4.8,37.14,1.14,62.9,0.757,是,-23.31,54.6,5.88,-4.66,62.0,多头排列/MACD红柱放大/近5日MACD金叉/短线急涨过热
27,SZ300394,天孚通信,AI硬件,284.66,8.67,4.24,-10.48,0.97,61.7,3.715,是,-45.78,37.4,5.78,-1.12,62.0,多头排列/MACD红柱放大/近5日MACD金叉
28,SH601208,东材科技,AI硬件,51.3,7.5,12.18,-30.35,1.18,48.1,0.967,否,-36.24,54.4,6.23,2.1,62.0,多头排列
29,SZ300408,三环集团,AI硬件,130.96,5.31,14.98,-18.18,1.08,70.4,4.344,否,-27.39,65.1,4.87,2.27,62.0,多头排列/MACD红柱放大
30,SH601869,长飞光纤,AI硬件,454.99,-4.01,25.13,-16.21,0.91,59.2,7.492,否,-24.17,72.5,6.12,5.97,61.0,多头排列
31,SZ300499,高澜股份,AI硬件,37.72,8.08,33.47,-6.08,0.95,66.8,0.817,否,-21.48,58.5,7.31,7.22,61.0,多头排列
32,SH600176,中国巨石,AI硬件,45.02,0.81,7.09,-39.26,1.34,53.4,1.06,否,-41.68,48.4,6.68,1.97,60.0,多头排列
33,SZ300684,中石科技,AI硬件,97.89,14.09,16.4,70.51,0.69,52.7,-1.114,否,-8.24,87.9,8.12,1.11,60.0,多头排列
34,SH600641,先导基电,AI硬件,37.3,27.26,14.59,-2.51,1.28,57.2,1.274,是,-26.85,61.4,5.48,0.06,60.0,MACD红柱放大/近5日MACD金叉/短线急涨过热
35,SZ300363,博腾股份,关注个股,22.79,11.5,4.11,40.85,0.83,72.8,0.325,是,-25.03,55.7,4.73,-0.15,59.0,多头排列/MACD红柱放大/近5日MACD金叉
36,SH688131,皓元医药,关注个股,98.79,13.19,1.44,9.58,0.92,60.0,0.259,是,-5.41,87.4,4.24,-1.53,59.0,MACD红柱放大/近5日MACD金叉
37,SH688143,长盈通,AI硬件,195.52,0.27,23.12,-9.06,0.82,65.6,1.626,否,-23.33,73.0,8.93,7.1,59.0,多头排列
38,SH600330,天通股份,AI硬件,29.37,6.88,7.7,-10.32,0.97,52.7,-0.045,是,-21.41,72.0,6.59,1.88,59.0,多头排列/近5日MACD金叉
39,SH688361,中科飞测,AI硬件,386.36,26.81,10.56,8.83,1.21,55.8,11.388,是,-15.82,80.6,5.88,-1.34,59.0,MACD红柱放大/近5日MACD金叉/短线急涨过热
40,SH688630,芯碁微装,AI硬件,439.83,9.33,2.39,-16.69,0.92,57.0,6.996,是,-23.86,70.8,5.28,-1.17,59.0,多头排列/MACD红柱放大/近5日MACD金叉
41,SH688256,寒武纪,AI硬件,1113.14,7.03,7.55,-23.65,1.07,50.2,23.405,否,-43.38,16.1,4.26,0.26,58.0,多头排列/MACD红柱放大/低位区
42,SZ300725,药石科技,关注个股,47.22,14.83,-8.24,40.91,1.14,58.1,0.282,是,-17.66,61.7,4.19,-3.59,56.0,MACD红柱放大/近5日MACD金叉
43,SH601169,北京银行,关注个股,5.54,-0.89,8.84,12.15,0.78,61.4,-0.007,否,-9.03,56.0,2.01,2.77,56.0,多头排列
44,SZ300857,协创数据,AI硬件,267.89,2.64,8.28,-19.42,0.82,52.0,0.711,是,-24.65,64.4,5.25,0.35,55.0,MACD红柱放大/近5日MACD金叉
45,SZ301511,德福科技,AI硬件,110.5,3.85,21.91,-28.85,0.91,62.2,3.168,否,-38.23,54.7,6.95,4.57,54.0,多头排列
46,SZ002142,宁波银行,关注个股,34.65,-2.39,1.73,11.31,1.04,55.4,-0.193,否,-3.83,86.4,2.21,1.26,53.0,逼近/创250日新高
47,SH600926,杭州银行,关注个股,17.14,-2.11,3.07,15.42,0.95,58.4,-0.091,否,-3.27,82.8,1.98,1.04,53.0,逼近/创250日新高
48,SH688710,益诺思,关注个股,94.92,14.42,-0.35,46.73,0.79,62.7,1.486,是,-8.46,86.8,5.17,-2.15,52.0,MACD红柱放大/近5日MACD金叉
49,SH688800,瑞可达,AI硬件,69.32,3.73,9.06,-25.39,0.72,56.8,1.452,否,-53.16,22.5,5.58,2.17,52.0,多头排列
