PASS | 文件已写出 | D:\vcp_hunter\产业链投研\outputs\决策看板_全球Biotech融资.html 字节数=365954
PASS | 无乱码替换符 | count=0
PASS | 标签配平 <table> | open=32 close=32
PASS | 标签配平 <thead> | open=32 close=32
PASS | 标签配平 <tbody> | open=32 close=32
PASS | 标签配平 <tr> | open=213 close=213
PASS | 标签配平 <td> | open=648 close=648
PASS | 标签配平 <th> | open=114 close=114
PASS | 标签配平 <div> | open=391 close=391
PASS | 标签配平 <section> | open=0 close=0
PASS | 标签配平 <figure> | open=15 close=15
PASS | 标签配平 <svg> | open=15 close=15
PASS | 标签配平 <ul> | open=8 close=8
PASS | 标签配平 <li> | open=85 close=85
PASS | 标签配平 <button> | open=355 close=355
PASS | 标签配平 <details> | open=19 close=19
PASS | 标签配平 <summary> | open=19 close=19
PASS | 标签配平 <aside> | open=1 close=1
PASS | 标签配平 <span> | open=740 close=740
PASS | 标签配平 <a> | open=700 close=700
PASS | 无残留 %s 占位 | 
PASS | 无残留 format 占位 | 
PASS | 无 >None< 泄漏 | 
PASS | 无 nan 泄漏 | 
PASS | 全部 46 条证据均被引用 | 未引用: []
PASS | 引用锚点唯一 | total=317 unique=317
PASS | 锚点与计划一致 | planned=317 found=317
PASS | 返回链接存在 cite-E-001-1 | 
PASS | 返回链接存在 cite-E-001-2 | 
PASS | 返回链接存在 cite-E-001-3 | 
PASS | 返回链接存在 cite-E-001-4 | 
PASS | 返回链接存在 cite-E-001-5 | 
PASS | 返回链接存在 cite-E-001-6 | 
PASS | 返回链接存在 cite-E-001-7 | 
PASS | 返回链接存在 cite-E-001-8 | 
PASS | 返回链接存在 cite-E-001-9 | 
PASS | 返回链接存在 cite-E-001-10 | 
PASS | 返回链接存在 cite-E-001-11 | 
PASS | 返回链接存在 cite-E-001-12 | 
PASS | 返回链接存在 cite-E-002-1 | 
PASS | 返回链接存在 cite-E-002-2 | 
PASS | 返回链接存在 cite-E-002-3 | 
PASS | 返回链接存在 cite-E-002-4 | 
PASS | 返回链接存在 cite-E-002-5 | 
PASS | 返回链接存在 cite-E-002-6 | 
PASS | 返回链接存在 cite-E-003-1 | 
PASS | 返回链接存在 cite-E-003-2 | 
PASS | 返回链接存在 cite-E-003-3 | 
PASS | 返回链接存在 cite-E-003-4 | 
PASS | 返回链接存在 cite-E-003-5 | 
PASS | 返回链接存在 cite-E-004-1 | 
PASS | 返回链接存在 cite-E-004-2 | 
PASS | 返回链接存在 cite-E-005-1 | 
PASS | 返回链接存在 cite-E-005-2 | 
PASS | 返回链接存在 cite-E-005-3 | 
PASS | 返回链接存在 cite-E-005-4 | 
PASS | 返回链接存在 cite-E-005-5 | 
PASS | 返回链接存在 cite-E-005-6 | 
PASS | 返回链接存在 cite-E-005-7 | 
PASS | 返回链接存在 cite-E-005-8 | 
PASS | 返回链接存在 cite-E-005-9 | 
PASS | 返回链接存在 cite-E-005-10 | 
PASS | 返回链接存在 cite-E-005-11 | 
PASS | 返回链接存在 cite-E-005-12 | 
PASS | 返回链接存在 cite-E-006-1 | 
PASS | 返回链接存在 cite-E-006-2 | 
PASS | 返回链接存在 cite-E-006-3 | 
PASS | 返回链接存在 cite-E-006-4 | 
PASS | 返回链接存在 cite-E-006-5 | 
PASS | 返回链接存在 cite-E-006-6 | 
PASS | 返回链接存在 cite-E-006-7 | 
PASS | 返回链接存在 cite-E-006-8 | 
PASS | 返回链接存在 cite-E-006-9 | 
PASS | 返回链接存在 cite-E-006-10 | 
PASS | 返回链接存在 cite-E-006-11 | 
PASS | 返回链接存在 cite-E-006-12 | 
PASS | 返回链接存在 cite-E-006-13 | 
PASS | 返回链接存在 cite-E-006-14 | 
PASS | 返回链接存在 cite-E-006-15 | 
PASS | 返回链接存在 cite-E-006-16 | 
PASS | 返回链接存在 cite-E-007-1 | 
PASS | 返回链接存在 cite-E-007-2 | 
PASS | 返回链接存在 cite-E-007-3 | 
PASS | 返回链接存在 cite-E-007-4 | 
PASS | 返回链接存在 cite-E-007-5 | 
PASS | 返回链接存在 cite-E-007-6 | 
PASS | 返回链接存在 cite-E-007-7 | 
PASS | 返回链接存在 cite-E-007-8 | 
PASS | 返回链接存在 cite-E-007-9 | 
PASS | 返回链接存在 cite-E-007-10 | 
PASS | 返回链接存在 cite-E-007-11 | 
PASS | 返回链接存在 cite-E-007-12 | 
PASS | 返回链接存在 cite-E-007-13 | 
PASS | 返回链接存在 cite-E-007-14 | 
PASS | 返回链接存在 cite-E-007-15 | 
PASS | 返回链接存在 cite-E-007-16 | 
PASS | 返回链接存在 cite-E-008-1 | 
PASS | 返回链接存在 cite-E-008-2 | 
PASS | 返回链接存在 cite-E-009-1 | 
PASS | 返回链接存在 cite-E-009-2 | 
PASS | 返回链接存在 cite-E-009-3 | 
PASS | 返回链接存在 cite-E-009-4 | 
PASS | 返回链接存在 cite-E-009-5 | 
PASS | 返回链接存在 cite-E-009-6 | 
PASS | 返回链接存在 cite-E-009-7 | 
PASS | 返回链接存在 cite-E-009-8 | 
PASS | 返回链接存在 cite-E-009-9 | 
PASS | 返回链接存在 cite-E-009-10 | 
PASS | 返回链接存在 cite-E-009-11 | 
PASS | 返回链接存在 cite-E-009-12 | 
PASS | 返回链接存在 cite-E-009-13 | 
PASS | 返回链接存在 cite-E-009-14 | 
PASS | 返回链接存在 cite-E-010-1 | 
PASS | 返回链接存在 cite-E-010-2 | 
PASS | 返回链接存在 cite-E-010-3 | 
PASS | 返回链接存在 cite-E-010-4 | 
PASS | 返回链接存在 cite-E-010-5 | 
PASS | 返回链接存在 cite-E-010-6 | 
PASS | 返回链接存在 cite-E-010-7 | 
PASS | 返回链接存在 cite-E-010-8 | 
PASS | 返回链接存在 cite-E-011-1 | 
PASS | 返回链接存在 cite-E-011-2 | 
PASS | 返回链接存在 cite-E-011-3 | 
PASS | 返回链接存在 cite-E-011-4 | 
PASS | 返回链接存在 cite-E-011-5 | 
