date,chinext_close,c5_pct,top5_amount_yi,market_amount_yi,active_stock_count,top5_stock_count,denominator_source,numerator_scope
2013-01-04,705.34,38.182219,790.2395936,2069.65342208,2403,121,sh880008,sh_sz_active_a
2013-01-07,718.12,33.95633,616.75748528,1816.32548864,2394,120,sh880008,sh_sz_active_a
2013-01-08,733.14,30.98376,647.53405472,2089.914368,2389,120,sh880008,sh_sz_active_a
2013-01-09,734.51,31.470533,650.59199488,2067.3052672,2393,120,sh880008,sh_sz_active_a
2013-01-10,741.18,32.219438,604.26856608,1875.47828224,2384,120,sh880008,sh_sz_active_a
2013-01-11,731.59,30.822011,624.52041408,2026.21566976,2385,120,sh880008,sh_sz_active_a
2013-01-14,760.55,32.628461,789.70038944,2420.28085248,2391,120,sh880008,sh_sz_active_a
2013-01-15,778.6,30.28324,842.9349824,2783.50331904,2388,120,sh880008,sh_sz_active_a
2013-01-16,774.49,31.407991,799.26207488,2544.77303808,2388,120,sh880008,sh_sz_active_a
2013-01-17,768.31,32.434226,636.9465744,1963.8099968,2388,120,sh880008,sh_sz_active_a
2013-01-18,787.39,32.169127,653.3987568,2031.13611264,2393,120,sh880008,sh_sz_active_a
2013-01-21,792.6,33.015067,712.91487296,2159.36221184,2394,120,sh880008,sh_sz_active_a
2013-01-22,775.14,36.34221,855.04442816,2352.75845632,2400,120,sh880008,sh_sz_active_a
2013-01-23,778.48,34.575706,638.8928896,1847.80865536,2398,120,sh880008,sh_sz_active_a
2013-01-24,757.87,37.976523,939.4601216,2473.79181568,2398,120,sh880008,sh_sz_active_a
2013-01-25,762.85,36.758996,555.24672624,1510.5056768,2393,120,sh880008,sh_sz_active_a
2013-01-28,784.76,40.505295,837.2416032,2066.99298816,2389,120,sh880008,sh_sz_active_a
2013-01-29,791.67,40.581464,929.04851424,2289.3420544,2389,120,sh880008,sh_sz_active_a
2013-01-30,783.68,38.685239,874.18909152,2259.7484544,2394,120,sh880008,sh_sz_active_a
2013-01-31,776.01,37.609786,785.83239584,2089.4359552,2400,120,sh880008,sh_sz_active_a
2013-02-01,782.36,42.309265,937.9997168,2217.00784128,2400,120,sh880008,sh_sz_active_a
2013-02-04,771.9,42.484191,1111.61460128,2616.537088,2401,121,sh880008,sh_sz_active_a
2013-02-05,780.98,41.252046,894.21843968,2167.69478656,2405,121,sh880008,sh_sz_active_a
2013-02-06,791.26,39.502334,736.10150096,1863.43800832,2404,121,sh880008,sh_sz_active_a
2013-02-07,805.59,43.656964,825.4727136,1890.81567232,2404,121,sh880008,sh_sz_active_a
2013-02-08,823.03,37.63342,693.6249768,1843.1090688,2418,121,sh880008,sh_sz_active_a
2013-02-18,835.28,34.135876,673.43449344,1972.805632,2416,121,sh880008,sh_sz_active_a
2013-02-19,819.71,34.901734,698.11249216,2000.22294528,2411,121,sh880008,sh_sz_active_a
2013-02-20,850.86,33.607547,635.88268176,1892.08297472,2412,121,sh880008,sh_sz_active_a
2013-02-21,839.3,35.91036,858.94700736,2391.9198208,2413,121,sh880008,sh_sz_active_a
2013-02-22,838.76,35.768575,611.30713744,1709.06206208,2410,121,sh880008,sh_sz_active_a
2013-02-25,855.69,32.990898,516.30631264,1564.99623936,2407,121,sh880008,sh_sz_active_a
2013-02-26,851.22,35.898996,730.3982688,2034.59248128,2408,121,sh880008,sh_sz_active_a
2013-02-27,846.09,36.409387,617.29606368,1695.4310656,2408,121,sh880008,sh_sz_active_a
2013-02-28,861.1,38.409214,822.2362528,2140.72655872,2406,121,sh880008,sh_sz_active_a
2013-03-01,884.89,34.212563,750.7991216,2194.51293696,2402,121,sh880008,sh_sz_active_a
2013-03-04,863.5,36.911629,1005.49275136,2724.05413888,2394,120,sh880008,sh_sz_active_a
2013-03-05,888.1,38.807478,853.00741344,2198.04909568,2397,120,sh880008,sh_sz_active_a
2013-03-06,902.9,34.108357,854.46889728,2505.15996672,2397,120,sh880008,sh_sz_active_a
2013-03-07,877.34,34.358259,853.447112,2483.96496896,2396,120,sh880008,sh_sz_active_a
2013-03-08,864.7,35.036185,607.32722416,1733.42851072,2399,120,sh880008,sh_sz_active_a
2013-03-11,869.15,34.889954,500.35112528,1434.08365568,2401,121,sh880008,sh_sz_active_a
2013-03-12,839.84,33.009255,640.83094752,1941.36752128,2401,121,sh880008,sh_sz_active_a
2013-03-13,834.05,36.330938,528.69126448,1455.20951296,2400,120,sh880008,sh_sz_active_a
2013-03-14,842.04,37.241858,479.2009592,1286.72677888,2402,121,sh880008,sh_sz_active_a
2013-03-15,853.91,40.636499,738.6799168,1817.7744896,2401,121,sh880008,sh_sz_active_a
2013-03-18,852.12,40.08898,603.944016,1506.5088,2398,120,sh880008,sh_sz_active_a
2013-03-19,842.69,38.108748,539.8452048,1416.59127808,2405,121,sh880008,sh_sz_active_a
2013-03-20,866.27,41.173113,818.78666848,1988.6440448,2404,121,sh880008,sh_sz_active_a
2013-03-21,882.73,34.747355,680.51464048,1958.46455296,2405,121,sh880008,sh_sz_active_a
2013-03-22,882.0,33.932781,556.45426304,1639.87226624,2405,121,sh880008,sh_sz_active_a
2013-03-25,881.76,35.619332,577.1043056,1620.19966976,2392,120,sh880008,sh_sz_active_a
2013-03-26,876.36,36.594205,617.3255928,1686.9490688,2394,120,sh880008,sh_sz_active_a
2013-03-27,882.75,35.819936,570.73702496,1593.35022592,2396,120,sh880008,sh_sz_active_a
2013-03-28,867.51,40.106588,760.60451968,1896.4578304,2392,120,sh880008,sh_sz_active_a
